DateKey,AnioMes,CuentasPorCobrar,CuentasPorPagar,Inventario,DSO_DiasCobro,DIO_DiasInventario,DPO_DiasPago,CicloConversionEfectivo_CCC,NecesidadOperativaFondos_NOF
20250101,2025-01,149257336.06,123801965.54,195763452.29,28.5,57.9,30.3,56.1,221218822.81
20250201,2025-02,140282791.02,104175038.45,231577220.36,22.7,70.5,44.4,48.8,267684972.93
20250301,2025-03,147123409.81,95478522.47,203331885.0,27.0,56.4,45.4,38.0,254976772.34
20250401,2025-04,147442479.86,95843256.27,191057773.06,22.7,86.4,29.9,79.2,242656996.65
20250501,2025-05,132488547.86,105709797.8,214950552.21,22.6,59.1,44.6,37.1,241729302.27
20250601,2025-06,147252303.22,117345172.66,185970062.28,24.6,75.1,31.5,68.2,215877192.84
20250701,2025-07,147287600.85,112186131.16,188595335.87,29.3,88.3,27.6,90.0,223696805.56
20250801,2025-08,135970807.05,100617749.88,204641953.82,23.4,73.1,45.2,51.3,239995010.99
20250901,2025-09,135092178.01,92902010.35,216000066.67,24.7,84.2,34.7,74.2,258190234.33
20251001,2025-10,125785188.27,96688696.79,223438209.04,24.1,80.7,30.1,74.7,252534700.52
20251101,2025-11,129650591.06,106292044.04,232159792.48,29.5,58.3,33.2,54.6,255518339.5
20251201,2025-12,124481981.65,107849477.78,208029127.53,29.2,87.2,33.7,82.7,224661631.4
