mes,indice_estacional_recuperado_stl,indice_estacional_real_inv2024,diferencia_absoluta
1,0.8283737151793066,0.7851,0.04327371517930656
2,0.8030571572855211,0.7864,0.016657157285521085
3,0.8353346821247064,0.8533,0.01796531787529354
4,0.8408029141102262,0.8485,0.007697085889773803
5,1.0810835765339104,1.0485,0.03258357653391042
6,0.8455434637853421,0.9153,0.06975653621465794
7,1.1799367338070914,1.1862,0.006263266192908512
8,1.3009836393155436,1.2806,0.020383639315543656
9,1.1072500446686118,1.1087,0.001449955331388253
10,1.1356976628806401,1.1388,0.0031023371193599214
11,1.1069895206185372,1.125,0.01801047938146283
12,0.908454330719672,0.9236,0.015145669280328011
