Fecha,DateKey,VolumenReal,VolumenForecast,IC95_Inferior,IC95_Superior
2025-01-01,20250101,45643.0,39449.92,32163.82,46736.03
2025-02-01,20250201,40886.0,41326.99,33728.14,48925.84
2025-03-01,20250301,44933.0,43678.53,35779.35,51577.72
2025-04-01,20250401,43426.0,44159.05,35970.55,52347.56
2025-05-01,20250501,51072.0,55463.72,46995.77,63931.67
2025-06-01,20250601,44783.0,42904.23,34165.76,51642.7
2025-07-01,20250701,55763.0,61809.03,52808.17,70809.89
2025-08-01,20250801,66001.0,64533.67,55277.85,73789.48
2025-09-01,20250901,58548.0,54616.55,45112.62,64120.49
2025-10-01,20251001,58271.0,56879.42,47133.68,66625.16
2025-11-01,20251101,58099.0,59158.32,49176.63,69140.01
2025-12-01,20251201,46018.0,45413.97,35201.77,55626.18
