DateKey,TipoCambioSpotA3500,FuturoRofex1M,FuturoRofex3M,DiasVencimiento1M,DiasVencimiento3M,TasaLecapReferenciaTNA
20250101,1049.64,1092.48,1172.88,30,90,0.4287
20250102,1050.03,1095.11,1177.26,30,90,0.4191
20250103,1050.75,1097.81,1183.37,30,90,0.4349
20250104,1053.4,1099.72,1185.08,30,90,0.4416
20250105,1051.97,1094.7,1174.28,30,90,0.4186
20250106,1049.22,1091.29,1168.8,30,90,0.4025
20250107,1054.48,1098.18,1178.51,30,90,0.4137
20250108,1053.69,1098.29,1179.81,30,90,0.4164
20250109,1054.54,1096.84,1174.72,30,90,0.4018
20250110,1056.11,1101.53,1183.83,30,90,0.4138
20250111,1057.15,1099.91,1179.7,30,90,0.4187
20250112,1060.24,1100.85,1177.75,30,90,0.4109
20250113,1059.74,1101.48,1179.34,30,90,0.4074
20250114,1059.16,1104.19,1185.61,30,90,0.4071
20250115,1057.83,1101.3,1182.92,30,90,0.4321
20250116,1057.94,1104.38,1187.73,30,90,0.4122
20250117,1061.89,1104.26,1182.7,30,90,0.4051
20250118,1065.37,1104.93,1180.7,30,90,0.4093
20250119,1063.02,1103.74,1181.72,30,90,0.4221
20250120,1063.48,1104.16,1180.79,30,90,0.4053
20250121,1065.91,1104.69,1180.19,30,90,0.4166
20250122,1061.79,1106.28,1188.1,30,90,0.4186
20250123,1065.49,1103.7,1178.7,30,90,0.4184
20250124,1068.35,1109.59,1188.49,30,90,0.4245
20250125,1070.16,1110.53,1186.96,30,90,0.4046
20250126,1068.24,1106.65,1182.18,30,90,0.421
20250127,1070.65,1105.29,1175.19,30,90,0.4014
20250128,1071.21,1106.87,1178.18,30,90,0.4049
20250129,1073.42,1111.06,1185.84,30,90,0.4204
20250130,1069.57,1107.04,1181.18,30,90,0.4163
20250131,1074.66,1109.52,1180.27,30,90,0.4077
20250201,1070.35,1100.84,1165.68,30,90,0.3953
20250202,1068.48,1102.39,1172.28,30,90,0.4124
20250203,1074.41,1105.6,1171.71,30,90,0.4001
20250204,1074.55,1102.24,1164.24,30,90,0.3968
20250205,1079.94,1110.08,1175.12,30,90,0.3991
20250206,1080.32,1109.41,1173.98,30,90,0.4076
20250207,1076.53,1106.46,1169.93,30,90,0.3835
20250208,1082.62,1116.84,1187.15,30,90,0.4079
20250209,1078.92,1112.23,1181.25,30,90,0.4057
20250210,1082.14,1110.09,1172.67,30,90,0.3977
20250211,1082.55,1111.71,1176.9,30,90,0.4135
20250212,1084.5,1114.99,1181.32,30,90,0.4088
20250213,1087.2,1116.97,1181.58,30,90,0.3962
20250214,1087.69,1114.44,1175.65,30,90,0.3952
20250215,1087.92,1116.08,1179.92,30,90,0.4084
20250216,1089.62,1119.78,1184.07,30,90,0.3859
20250217,1090.14,1117.0,1178.58,30,90,0.3973
20250218,1088.33,1114.0,1173.96,30,90,0.3939
20250219,1089.06,1116.3,1178.54,30,90,0.4005
20250220,1090.64,1118.76,1182.08,30,90,0.4015
20250221,1094.03,1119.12,1179.05,30,90,0.3994
