RemitoID,DateKey,Fecha,CentroCostoID,VariedadUva,FincaOrigen,KilosEntrada,GradosBrix,LitrosMostoObtenido,RendimientoExtraccionPct,CalificacionSanitaria,UbicacionGeografica,Latitud,Longitud
REM-2025-00001,20250201,2025-02-01,CC-101,Syrah,Finca Barrancas,14461.0,25.6,10534.5,0.7285,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00002,20250201,2025-02-01,CC-102,Malbec,Finca Agrelo,10088.0,22.7,7162.2,0.71,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00003,20250201,2025-02-01,CC-101,Cabernet Franc,Finca Gualtallary,17165.0,23.6,12503.1,0.7284,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00004,20250202,2025-02-02,CC-102,Cabernet Franc,Finca Agrelo,17539.0,25.1,12012.2,0.6849,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00005,20250202,2025-02-02,CC-102,Cabernet Franc,Finca Barrancas,17167.0,23.7,11946.6,0.6959,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00006,20250202,2025-02-02,CC-102,Syrah,Finca Agrelo,11412.0,25.7,7872.0,0.6898,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00007,20250202,2025-02-02,CC-101,Chardonnay,Finca Barrancas,10659.0,24.5,7583.4,0.7115,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00008,20250203,2025-02-03,CC-102,Bonarda,Finca Barrancas,9204.0,23.6,6761.6,0.7346,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00009,20250203,2025-02-03,CC-102,Bonarda,Finca Agrelo,21175.0,23.0,15342.1,0.7245,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00010,20250203,2025-02-03,CC-102,Bonarda,Finca Barrancas,11393.0,22.7,7923.2,0.6954,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00011,20250203,2025-02-03,CC-101,Syrah,Finca Agrelo,22155.0,23.5,15577.3,0.7031,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00012,20250204,2025-02-04,CC-101,Chardonnay,Finca Agrelo,13579.0,24.9,9914.0,0.7301,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00013,20250204,2025-02-04,CC-101,Chardonnay,Finca Gualtallary,13690.0,23.0,9913.7,0.7242,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00014,20250204,2025-02-04,CC-101,Syrah,Finca Altamira,18359.0,25.1,12859.7,0.7005,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00015,20250204,2025-02-04,CC-102,Bonarda,Finca Gualtallary,20118.0,23.6,14017.2,0.6967,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00016,20250205,2025-02-05,CC-101,Malbec,Finca Altamira,10275.0,26.5,7033.2,0.6845,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00017,20250205,2025-02-05,CC-101,Chardonnay,Finca Barrancas,19164.0,24.1,13431.4,0.7009,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00018,20250205,2025-02-05,CC-101,Bonarda,Finca Barrancas,11511.0,22.9,8297.8,0.7209,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00019,20250205,2025-02-05,CC-101,Bonarda,Finca Barrancas,18634.0,24.6,13274.0,0.7124,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00020,20250206,2025-02-06,CC-102,Syrah,Finca Altamira,10821.0,25.6,7846.4,0.7251,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
