TransaccionID,DateKey,Fecha,ProductoID,CentroCostoID,VolumenReal,PrecioRealUnit,CostoRealUnit,IngresosReales,CostoReal,MargenBrutoReal,CanalVenta
TRX-90011270,20220416,2022-04-16,PRD-13,CC-202,35.0,10297.43,4255.19,360410.15,148931.6,211478.55,Canal Horeca
TRX-90018522,20241002,2024-10-02,PRD-22,CC-101,223.0,138027.34,47911.88,30780096.02,10684349.18,20095746.84,Supermercados
TRX-90014734,20251124,2025-11-24,PRD-17,CC-203,168.0,10518.72,69010.19,1767145.55,11593712.34,-9826566.79,Exportacion Directa
TRX-90004397,20220423,2022-04-23,PRD-05,CC-203,247.0,1474.26,10557.93,364142.43,2607809.62,-2243667.19,Exportacion Directa
TRX-90017547,20231209,2023-12-09,PRD-21,CC-202,230.0,31593.58,15145.35,7266522.83,3483430.23,3783092.6,Canal Horeca
TRX-90026951,20220810,2022-08-10,PRD-33,CC-202,206.0,18096.0,6790.39,3727775.7,1398821.01,2328954.69,Canal Horeca
TRX-90020014,20231021,2023-10-21,PRD-24,CC-203,63.0,2642.96,16314.33,166506.53,1027802.62,-861296.09,Exportacion Directa
TRX-90029027,20240814,2024-08-14,PRD-35,CC-101,162.0,181898.79,81967.01,29467604.23,13278655.12,16188949.11,Supermercados
TRX-90009164,20231013,2023-10-13,PRD-10,CC-203,64.0,3158.06,18446.65,202115.75,1180585.54,-978469.79,Exportacion Directa
TRX-90024285,20240104,2024-01-04,PRD-30,CC-203,219.0,5275.6,29081.94,1155357.3,6368944.36,-5213587.06,Exportacion Directa
TRX-90028731,20230414,2023-04-14,PRD-35,CC-101,74.0,39373.67,18319.46,2913651.26,1355640.32,1558010.94,Canal Horeca
TRX-90021063,20250126,2025-01-26,PRD-25,CC-202,202.0,59808.68,29857.46,12081352.84,6031207.72,6050145.12,Distribuidor Mayorista
TRX-90002774,20220203,2022-02-03,PRD-03,CC-203,38.0,2071.22,7899.11,78706.24,300166.25,-221460.01,Exportacion Directa
TRX-90028424,20210904,2021-09-04,PRD-35,CC-202,172.0,14813.57,6480.52,2547933.94,1114649.2,1433284.74,Canal Horeca
TRX-90024256,20231104,2023-11-04,PRD-30,CC-101,141.0,48987.3,18162.72,6907208.93,2560944.07,4346264.86,Canal Horeca
TRX-90009197,20231209,2023-12-09,PRD-10,CC-203,54.0,4423.77,26445.39,238883.76,1428051.2,-1189167.44,Exportacion Directa
TRX-90026196,20240109,2024-01-09,PRD-32,CC-101,203.0,84499.31,32611.69,17153359.0,6620173.63,10533185.37,Supermercados
TRX-90012548,20231022,2023-10-22,PRD-14,CC-101,218.0,24883.08,12103.11,5424512.19,2638478.94,2786033.25,Supermercados
TRX-90007928,20220802,2022-08-02,PRD-09,CC-101,193.0,9070.46,4523.93,1750597.82,873117.95,877479.87,Distribuidor Mayorista
TRX-90022236,20241001,2024-10-01,PRD-27,CC-101,69.0,92497.76,41792.27,6382345.78,2883666.51,3498679.27,Distribuidor Mayorista
TRX-90022507,20220807,2022-08-07,PRD-28,CC-202,110.0,21508.63,8022.41,2365949.53,882465.01,1483484.52,Distribuidor Mayorista
TRX-90004436,20220704,2022-07-04,PRD-05,CC-202,39.0,31926.01,12521.99,1245114.34,488357.66,756756.68,Supermercados
TRX-90004473,20220915,2022-09-15,PRD-05,CC-202,166.0,35440.57,14212.45,5883134.28,2359266.29,3523867.99,Distribuidor Mayorista
TRX-90004335,20211117,2021-11-17,PRD-05,CC-202,55.0,22600.77,8192.83,1243042.5,450605.86,792436.64,Canal Horeca
TRX-90028723,20230323,2023-03-23,PRD-35,CC-202,56.0,38225.32,16626.25,2140618.01,931070.09,1209547.92,Canal Horeca
TRX-90010428,20210713,2021-07-13,PRD-12,CC-202,31.0,3987.8,1938.07,123621.89,60080.1,63541.79,Supermercados
TRX-90007981,20221121,2022-11-21,PRD-09,CC-202,86.0,11614.21,5187.49,998821.78,446124.35,552697.43,Canal Horeca
TRX-90019568,20210807,2021-08-07,PRD-24,CC-203,243.0,595.79,3231.5,144778.14,785253.33,-640475.19,Exportacion Directa
TRX-90028054,20240302,2024-03-02,PRD-34,CC-101,201.0,135862.69,65685.74,27308400.14,13202833.47,14105566.67,Canal Horeca
TRX-90007892,20220718,2022-07-18,PRD-09,CC-202,105.0,8767.12,4085.0,920547.69,428924.78,491622.91,Canal Horeca
TRX-90002315,20241019,2024-10-19,PRD-02,CC-101,100.0,136201.45,54885.81,13620144.8,5488581.49,8131563.31,Canal Horeca
TRX-90011412,20221109,2022-11-09,PRD-13,CC-203,252.0,1430.77,6417.94,360555.15,1617320.45,-1256765.3,Exportacion Directa
TRX-90005426,20230622,2023-06-22,PRD-06,CC-202,105.0,19164.83,9195.53,2012307.08,965530.59,1046776.49,Supermercados
TRX-90024434,20241119,2024-11-19,PRD-30,CC-202,101.0,124600.69,48853.34,12584669.46,4934186.85,7650482.61,Distribuidor Mayorista
TRX-90016394,20220926,2022-09-26,PRD-20,CC-203,49.0,3715.59,15690.86,182063.96,768852.08,-586788.12,Exportacion Directa
TRX-90001218,20230206,2023-02-06,PRD-01,CC-202,47.0,12350.41,6324.45,580469.05,297249.25,283219.8,Distribuidor Mayorista
TRX-90006035,20210817,2021-08-17,PRD-07,CC-101,221.0,10702.94,4119.52,2365350.03,910414.58,1454935.45,Supermercados
TRX-90022936,20210614,2021-06-14,PRD-29,CC-202,171.0,4438.6,2018.71,759000.9,345200.11,413800.79,Distribuidor Mayorista
TRX-90012295,20220705,2022-07-05,PRD-14,CC-101,192.0,8687.74,4135.14,1668046.91,793946.8,874100.11,Supermercados
TRX-90011258,20220312,2022-03-12,PRD-13,CC-101,241.0,10507.98,3895.43,2532423.42,938799.57,1593623.85,Canal Horeca
