Periodo_Mes,Cuentas_Cobrar_ARS,Cuentas_Pagar_ARS,Stock_Inventario_ARS,DSO,DIO,DPO
2025/01,149257336.06,123801965.54,195763452.29,28.5,57.9,30.3
2025-02,140282791.02,104175038.45,231577220.36,22.7,70.5,44.4
2025/03,"$147.123.409,81",95478522.47,203331885.0,27.0,56.4,45.4
2025-04,147442479.86,95843256.27,191057773.06,22.7,86.4,29.9
2025/05,132488547.86,105709797.8,214950552.21,22.6,59.1,44.6
2025-06,"$147.252.303,22",117345172.66,185970062.28,24.6,75.1,31.5
2025/07,147287600.85,112186131.16,188595335.87,29.3,88.3,27.6
2025-08,135970807.05,100617749.88,204641953.82,23.4,73.1,45.2
2025/09,"$135.092.178,01",92902010.35,216000066.67,24.7,84.2,34.7
2025-10,125785188.27,96688696.79,223438209.04,24.1,80.7,30.1
2025/11,129650591.06,106292044.04,232159792.48,29.5,58.3,33.2
2025-12,"$124.481.981,65",107849477.78,208029127.53,29.2,87.2,33.7
