ID_REGISTRO,FECHA_ASIENTO,CENTRO_COSTO,CUENTA_CONTABLE,MONTO_PRESUPUESTADO,MONTO_REAL
OPX-2025-0001,01/01/2025,CC-101, 5.2.01 ,9633068.2,9555551.59
OPX-2025-0002,01/01/2025, CC-102 ,5.2.02,9763112.05,9475343.04
OPX-2025-0003,01/01/2025,CC-103,5.2.02,8484763.35,8189144.76
OPX-2025-0004,01/01/2025, CC-104 ,5.2.01,13295121.96,13257999.53
OPX-2025-0005,01/01/2025,CC-201, 5.2.04 ,10813906.37,11508369.69
OPX-2025-0006,01/01/2025, CC-202 , 5.2.02 ,16828609.69,17947605.02
OPX-2025-0007,01/01/2025, CC-203 ,5.2.03,10652007.72,11331363.77
OPX-2025-0008,2025-02-01,CC-101,5.2.03,8671782.01,8053223.43
OPX-2025-0009,2025-02-01, CC-102 ,5.2.02,10801897.41,11641145.66
OPX-2025-0010,2025-02-01, CC-103 , 5.2.01 ,9709830.72,8873967.22
OPX-2025-0011,2025-02-01, CC-104 ,5.2.02,8448804.89,9200105.51
OPX-2025-0012,2025-02-01,CC-201,5.2.02,13971616.13,13352733.0
OPX-2025-0013,2025-02-01,CC-202,5.2.01,13108254.08,13318871.17
OPX-2025-0014,2025-02-01,CC-203,5.2.02,14209795.76,13517796.64
OPX-2025-0015,2025-03-01,CC-101, 5.2.01 ,16508432.86,15981171.4
OPX-2025-0016,2025-03-01, CC-102 ,5.2.03,14635448.19,13223821.48
OPX-2025-0017,2025-03-01,CC-103,5.2.03,11099228.43,10848121.26
OPX-2025-0018,2025-03-01, CC-104 , 5.2.02 ,12978328.71,11888174.76
OPX-2025-0019,2025-03-01,CC-201, 5.2.01 ,15691445.11,14874105.61
OPX-2025-0020,2025-03-01, CC-202 , 5.2.02 ,14447415.96,15555629.09
OPX-2025-0021,2025-03-01, CC-203 , 5.2.02 ,13180646.52,14010952.19
OPX-2025-0022,2025-04-01,CC-101,5.2.03,14280463.43,13969385.75
OPX-2025-0023,2025-04-01,CC-102, 5.2.02 ,15897443.93,15338399.21
OPX-2025-0024,2025-04-01,CC-103,5.2.02,13283342.1,14133309.99
OPX-2025-0025,2025-04-01,CC-104,5.2.03,11168515.01,10795585.71
OPX-2025-0026,2025-04-01,CC-201, 5.2.01 ,12052806.11,13016451.69
