NUM_REMITO,FECHA_PESAJE,COD_CC,VARIEDAD,FINCA,KG_BRUTO,KG_TARA,KG_NETO,BRIX,LTS_MOSTO,ESTADO_SANIDAD
REM-2025-00001, 2025-02-01 ,CC-101, SYRAH ,Finca Barrancas,23210,8749,,"25,6",10534.5, BUENA 
REM-2025-00002,2025-02-01,CC-102,Malbec,Finca Agrelo,19875,9787,10088.0,"22,7",7162.2,Buena
REM-2025-00003,2025-02-01,CC-101,Cabernet Franc,Finca Gualtallary,26240,9075,17165.0,23.6,12503.1,Optima
REM-2025-00004,2025-02-02,CC-102,Cabernet Franc,Finca Agrelo,28372,10833,17539.0,"25,1",12012.2, BUENA 
REM-2025-00005,2025/02/02, CC-102 , CABERNET FRANC ,Finca Barrancas,25645,8478,17167.0,23.7,11946.6, BUENA 
REM-2025-00006,2025-02-02, CC-102 ,Syrah,Finca Agrelo,20735,9323,11412.0,"25,7",7872.0, BUENA 
REM-2025-00007,2025/02/02, CC-101 ,Chardonnay,Finca Barrancas,18821,8162,10659.0,24.5,7583.4, BUENA 
REM_00008,2025-02-03,CC-102,Bonarda, Finca Barrancas ,19932,10728,9204.0,"23,6",6761.6,Optima
REM-2025-00009,2025-02-03, CC-102 ,Bonarda,Finca Agrelo,31403,10228,21175.0,23.0,15342.1,
 rem/00010 ,03/02/2025,CC-102,Bonarda,Finca Barrancas,21933,10540,,22.7,7923.2,Buena
REM-2025-00011,03/02/2025, CC-101 ,Syrah,Finca Agrelo,31737,9582,22155.0,"23,5",15577.3, BUENA 
REM-2025-00012,2025-02-04,CC-101,Chardonnay,Finca Agrelo,22566,8987,13579.0,"24,9",9914.0,Buena
REM-2025-00013,04/02/2025, CC-101 ,Chardonnay,Finca Gualtallary,24297,10607,13690.0,"23,0",9913.7,Optima
 rem/00014 ,2025-02-04,CC-101,Syrah,Finca Altamira,26540,8181,,25.1,12859.7,optima
REM-2025-00015,2025-02-04, CC-102 ,bonarda,Finca Gualtallary,31059,10941,,23.6,14017.2,optima
REM-2025-00016,2025-02-05, CC-101 ,Malbec,Finca Altamira,20419,10144,10275.0,26.5,7033.2,
REM_00017,05/02/2025,CC-101,Chardonnay,Finca Barrancas,29232,10068,,24.1,13431.4, BUENA 
REM-2025-00018,2025/02/05, CC-101 ,bonarda,Finca Barrancas,22161,10650,11511.0,22.9,8297.8,optima
 rem/00019 ,2025-02-05,CC-101,Bonarda,Finca Barrancas,28362,9728,18634.0,"24,6",13274.0,optima
REM_00020,2025-02-06, CC-102 ,syrah,Finca Altamira,21483,10662,10821.0,25.6,7846.4, BUENA 
REM_00021,06/02/2025,CC-102, CHARDONNAY ,Finca Barrancas,26787,9986,16801.0,"23,4",11522.5, BUENA 
REM-2025-00022,06/02/2025, CC-101 ,Chardonnay,Finca Agrelo,30413,8491,21922.0,"24,9",15992.1,Buena
REM_00023,2025/02/06, CC-101 , BONARDA ,Finca Barrancas,20824,10305,10519.0,24.4,7647.9,Buena
REM-2025-00024, 07/02/2025 ,CC-101,Bonarda,Finca Gualtallary,21185,10723,10462.0,"24,6",7155.6,optima
 rem/00025 ,07/02/2025, CC-101 ,Syrah,Finca Gualtallary,21055,8688,12367.0,"26,4",8900.6,optima
REM-2025-00026,2025-02-07, CC-102 , MALBEC , Finca Barrancas ,23820,10004,13816.0,"25,1",9987.9,Buena
 rem/00027 ,2025-02-07,CC-102,malbec,Finca Barrancas,20283,9607,,23.9,7686.9,Buena
REM_00028,2025-02-08, CC-102 ,Syrah,Finca Barrancas,24799,9280,15519.0,22.5,10683.0,Buena
 rem/00029 ,2025-02-08, CC-101 ,chardonnay, Finca Agrelo ,22958,8524,14434.0,24.3,10212.9,
REM-2025-00030,2025/02/08, CC-102 ,cabernet franc,Finca Altamira,18148,8437,,25.4,6895.4,Buena
 rem/00031 ,08/02/2025,CC-102, MALBEC ,Finca Barrancas,30093,8357,21736.0,"25,9",15924.4,Optima
REM-2025-00032,09/02/2025,CC-102,Chardonnay,Finca Agrelo,20823,9632,11191.0,24.7,7739.1,optima
REM-2025-00033,09/02/2025, CC-102 ,Chardonnay,Finca Barrancas,26391,8370,18021.0,25.0,12281.3,
REM-2025-00034,09/02/2025, CC-101 ,Bonarda, Finca Agrelo ,30535,8787,21748.0,"24,6",15579.1, BUENA 
REM_00035,09/02/2025,CC-101,syrah,Finca Gualtallary,27713,9272,18441.0,24.6,13184.4,optima
REM-2025-00036,2025/02/10, CC-102 ,Syrah,Finca Barrancas,23785,9417,14368.0,24.8,9931.1,Optima
 rem/00037 ,2025-02-10, CC-101 , CABERNET FRANC ,Finca Barrancas,25532,10933,,24.1,10757.5,optima
 rem/00038 ,2025-02-10,CC-102,Cabernet Franc,Finca Gualtallary,31736,8847,22889.0,"24,6",15714.9,optima
 rem/00039 ,2025/02/10,CC-102,syrah,Finca Barrancas,30446,10061,20385.0,"26,5",14523.9,Buena
REM-2025-00040,2025/02/11, CC-101 ,bonarda,Finca Altamira,21320,10558,10762.0,26.5,7942.3,Optima
REM-2025-00041,2025-02-11,CC-101, SYRAH , Finca Agrelo ,19564,9840,,"25,0",6951.2,optima
REM-2025-00042,2025-02-11,CC-102,bonarda,Finca Altamira,18726,9244,9482.0,25.2,6564.9,Buena
REM-2025-00043, 11/02/2025 ,CC-102,cabernet franc,Finca Gualtallary,30963,10920,20043.0,"23,0",13785.4,Buena
 rem/00044 ,12/02/2025, CC-102 ,chardonnay,Finca Gualtallary,28776,9908,18868.0,25.0,12917.9,
REM-2025-00045, 2025-02-12 , CC-102 , CABERNET FRANC ,Finca Barrancas,29689,8947,20742.0,23.9,14513.5,Buena
REM-2025-00046,2025/02/12,CC-102, MALBEC ,Finca Altamira,26828,8313,,"25,0",13458.3,optima
REM-2025-00047,12/02/2025,CC-102,Syrah,Finca Agrelo,31393,9025,,"22,7",16213.5,Optima
 rem/00048 ,13/02/2025,CC-101,Cabernet Franc,Finca Barrancas,22631,9391,13240.0,23.7,9018.4, BUENA 
REM-2025-00049,13/02/2025, CC-102 ,cabernet franc,Finca Gualtallary,24906,9920,14986.0,22.6,11048.2,Optima
REM-2025-00050,2025/02/13, CC-102 ,Chardonnay, Finca Agrelo ,30392,10542,19850.0,"25,7",14420.5, BUENA 
REM-2025-00051,2025-02-13, CC-101 ,Cabernet Franc,Finca Agrelo,23335,8981,14354.0,25.0,9802.1,Aceptable
REM_00052,2025-02-14, CC-101 , CABERNET FRANC ,Finca Altamira,20892,10496,10396.0,22.6,7643.9,Buena
REM-2025-00053, 14/02/2025 , CC-101 ,chardonnay,Finca Barrancas,19559,10587,8972.0,23.4,6213.0,
REM-2025-00054,2025-02-14,CC-102,Cabernet Franc,Finca Gualtallary,21642,10000,11642.0,23.5,8541.8,
REM-2025-00055,2025/02/14,CC-101, CABERNET FRANC ,Finca Altamira,19294,10808,8486.0,23.9,6194.5, BUENA 
REM-2025-00056,2025-02-15, CC-101 ,bonarda,Finca Altamira,27945,8114,,"26,1",14589.3,Buena
REM-2025-00057,15/02/2025, CC-102 ,malbec, Finca Barrancas ,20441,9098,11343.0,23.7,7913.9,Optima
REM_00058,2025/02/15, CC-102 ,malbec,Finca Altamira,29241,10225,19016.0,24.8,13218.8,
REM-2025-00059,15/02/2025,CC-102,bonarda,Finca Agrelo,30546,10054,20492.0,26.0,14176.4,Aceptable
REM-2025-00060,2025/02/16,CC-101,Cabernet Franc,Finca Barrancas,18175,9000,,"25,0",6361.8,optima
REM_00061,2025/02/16, CC-102 ,bonarda, Finca Gualtallary ,30563,10545,20018.0,25.2,13840.7,Optima
REM-2025-00062,16/02/2025,CC-102, MALBEC ,Finca Gualtallary,19356,10103,9253.0,"22,8",6746.3,Optima
REM-2025-00063,2025-02-16, CC-102 ,cabernet franc, Finca Agrelo ,20083,10040,,24.8,7139.4,Aceptable
REM-2025-00064,2025/02/17, CC-102 ,malbec, Finca Gualtallary ,20642,9600,11042.0,22.9,7789.1,Optima
REM-2025-00065,2025-02-17,CC-102, BONARDA ,Finca Gualtallary,21799,8618,13181.0,"25,4",9627.4,
REM-2025-00066,2025/02/17,CC-102,Syrah,Finca Altamira,31667,9699,,22.8,15250.4,Buena
REM-2025-00067,2025/02/17, CC-101 , CHARDONNAY ,Finca Barrancas,25633,10481,15152.0,"23,0",10636.0,
REM-2025-00068,2025/02/18,CC-102,Bonarda, Finca Gualtallary ,20113,9044,11069.0,23.4,7563.2,Buena
 rem/00069 ,18/02/2025, CC-102 ,Syrah,Finca Barrancas,19582,10086,9496.0,"22,9",6555.4,Aceptable
REM-2025-00070,18/02/2025, CC-102 , CABERNET FRANC ,Finca Barrancas,31072,9211,,24.8,15957.3,Optima
REM-2025-00071, 18/02/2025 ,CC-102,chardonnay,Finca Gualtallary,24093,10608,13485.0,"23,2",9729.5, BUENA 
 rem/00072 ,19/02/2025, CC-102 , MALBEC ,Finca Barrancas,18237,10957,7280.0,26.4,5380.9,
REM-2025-00073,2025-02-19, CC-101 , MALBEC ,Finca Altamira,29110,9977,19133.0,23.5,13927.2, BUENA 
REM-2025-00074,19/02/2025,CC-102,Chardonnay,Finca Gualtallary,18754,10258,8496.0,"25,9",6193.8,
REM-2025-00075,19/02/2025, CC-101 ,bonarda,Finca Gualtallary,23507,8139,15368.0,24.5,10651.0,Optima
REM-2025-00076,20/02/2025,CC-101,syrah,Finca Agrelo,23131,9890,13241.0,24.8,9082.0,Aceptable
REM_00077,2025/02/20,CC-101,chardonnay,Finca Barrancas,28271,9872,18399.0,26.3,12775.5,Buena
REM-2025-00078,2025-02-20, CC-101 ,chardonnay,Finca Agrelo,27648,8928,18720.0,24.4,13713.2,Buena
REM-2025-00079,2025-02-20, CC-102 ,Syrah,Finca Gualtallary,27244,10509,16735.0,"23,9",11696.8,optima
REM_00080,2025-02-21, CC-102 ,Syrah,Finca Agrelo,18681,10204,8477.0,25.2,5916.7, BUENA 
 rem/00081 ,2025/02/21,CC-101,Bonarda,Finca Gualtallary,31041,9464,21577.0,22.9,15835.1,Optima
REM-2025-00082,2025/02/21, CC-102 , BONARDA ,Finca Gualtallary,18074,9293,8781.0,26.4,6428.7,optima
 rem/00083 ,21/02/2025, CC-101 , CABERNET FRANC ,Finca Agrelo,31161,8319,22842.0,22.7,16326.9,optima
REM-2025-00084,22/02/2025, CC-102 ,Chardonnay,Finca Gualtallary,27747,10617,17130.0,"22,5",12476.3,Aceptable
 rem/00085 ,22/02/2025,CC-102, CHARDONNAY ,Finca Gualtallary,26652,10755,15897.0,"24,2",11457.5,optima
REM_00086,2025/02/22, CC-102 , CHARDONNAY ,Finca Altamira,19075,8519,,"24,5",7681.7,Aceptable
REM-2025-00087,2025/02/22, CC-101 ,Chardonnay,Finca Gualtallary,31892,8926,22966.0,23.9,15702.0,optima
 rem/00088 ,2025/02/23, CC-102 ,bonarda,Finca Agrelo,25456,8578,16878.0,"22,9",11752.2,Aceptable
REM-2025-00089,2025-02-23,CC-102,Bonarda,Finca Agrelo,22569,10744,11825.0,23.5,8106.6, BUENA 
REM-2025-00090,23/02/2025, CC-102 ,Malbec,Finca Gualtallary,30673,8061,22612.0,24.2,16074.3,Optima
REM_00091,2025/02/23, CC-101 , CHARDONNAY , Finca Altamira ,29954,9164,20790.0,"26,1",14309.0, BUENA 
REM-2025-00092,2025/02/24,CC-101, CABERNET FRANC , Finca Altamira ,18470,9416,9054.0,22.6,6234.7,Optima
REM-2025-00093,24/02/2025,CC-101,Cabernet Franc, Finca Barrancas ,26363,10623,15740.0,"25,4",11446.0,
REM_00094,24/02/2025,CC-101, BONARDA ,Finca Barrancas,28591,8977,19614.0,23.7,13906.1,Aceptable
REM_00095,2025/02/24,CC-102,chardonnay,Finca Altamira,19129,10859,8270.0,24.9,6111.7,optima
REM-2025-00096,2025-02-25,CC-102, SYRAH ,Finca Agrelo,21454,10008,11446.0,"25,5",8126.7,
REM-2025-00097,2025-02-25,CC-101,cabernet franc,Finca Gualtallary,19790,9477,10313.0,"24,8",7198.4,Aceptable
REM-2025-00098,2025/02/25, CC-101 ,Cabernet Franc,Finca Altamira,27730,10073,17657.0,25.0,12916.7,
REM-2025-00099,2025/02/25,CC-102,Bonarda, Finca Gualtallary ,23317,8810,14507.0,"24,1",10640.3,optima
REM-2025-00100,2025/02/26, CC-102 ,Malbec,Finca Barrancas,28955,10032,18923.0,25.4,13150.1,Aceptable
 rem/00101 ,2025/02/26,CC-102, CHARDONNAY ,Finca Barrancas,31665,10705,20960.0,23.1,14370.5,Buena
REM-2025-00102,26/02/2025,CC-101,malbec,Finca Gualtallary,23677,8555,15122.0,26.0,10497.5,Optima
REM-2025-00103,2025/02/26,CC-102, SYRAH ,Finca Agrelo,21697,8490,13207.0,"25,4",9234.3,Aceptable
 rem/00104 ,2025-02-27,CC-101,Chardonnay,Finca Altamira,27479,9633,17846.0,23.2,13162.9, BUENA 
 rem/00105 ,2025-02-27,CC-102, SYRAH , Finca Agrelo ,22376,9298,13078.0,24.1,9491.2,optima
REM-2025-00106,27/02/2025, CC-102 ,cabernet franc, Finca Barrancas ,22423,10258,12165.0,"22,5",8286.8,optima
REM-2025-00107,2025-02-27, CC-102 ,Bonarda,Finca Agrelo,20073,10074,,24.3,7110.1,Aceptable
 rem/00108 ,28/02/2025,CC-102,Syrah,Finca Agrelo,24825,10460,14365.0,24.2,10387.1,Optima
REM-2025-00109,2025-02-28, CC-102 , SYRAH ,Finca Agrelo,26146,8228,17918.0,"25,4",12434.8,
REM-2025-00110,2025-02-28,CC-101,Cabernet Franc,Finca Barrancas,22886,8523,14363.0,"23,9",10146.2, BUENA 
REM_00111,2025-02-28, CC-101 ,Chardonnay,Finca Gualtallary,28100,9305,18795.0,"24,9",13613.9, BUENA 
REM-2025-00112,2025/03/01, CC-101 , CABERNET FRANC , Finca Altamira ,29675,10720,18955.0,24.7,12949.6,Optima
REM-2025-00113,2025-03-01,CC-102, CABERNET FRANC ,Finca Altamira,30305,9777,20528.0,22.7,15082.0,Buena
REM_00114,01/03/2025, CC-102 ,Malbec,Finca Altamira,29980,10598,19382.0,"24,5",13693.2,Buena
REM-2025-00115, 2025-03-01 , CC-101 ,Syrah, Finca Agrelo ,18752,10469,8283.0,23.7,6064.3,optima
REM-2025-00116,02/03/2025, CC-101 ,Malbec,Finca Gualtallary,18677,8105,10572.0,"25,4",7560.8,
REM-2025-00117,2025-03-02,CC-102,Malbec, Finca Gualtallary ,19095,8987,10108.0,23.3,7154.8,
REM_00118,02/03/2025,CC-102,malbec, Finca Altamira ,21257,10117,,25.8,7884.8,Buena
REM-2025-00119,2025-03-02, CC-101 ,Chardonnay,Finca Altamira,19561,9675,9886.0,25.0,7044.5,Buena
REM-2025-00120,2025-03-03,CC-101,cabernet franc,Finca Altamira,23782,8943,14839.0,24.0,10178.8,Aceptable
REM_00121,2025-03-03, CC-102 , MALBEC , Finca Barrancas ,28892,8724,20168.0,24.3,14655.7, BUENA 
 rem/00122 , 2025-03-03 , CC-101 , MALBEC ,Finca Barrancas,18250,9544,8706.0,23.2,6132.3,
 rem/00123 ,2025/03/03,CC-101,Chardonnay, Finca Gualtallary ,31068,8225,22843.0,"25,3",16107.4, BUENA 
REM_00124,04/03/2025, CC-101 ,cabernet franc,Finca Altamira,31029,10178,,22.8,15410.4,optima
 rem/00125 ,04/03/2025,CC-101,cabernet franc,Finca Altamira,29077,10806,18271.0,23.6,13066.5,
REM-2025-00126,2025/03/04,CC-102,Cabernet Franc,Finca Altamira,20370,8614,11756.0,"23,7",8672.8,
REM-2025-00127, 2025-03-04 ,CC-101,cabernet franc, Finca Gualtallary ,31122,10698,20424.0,23.7,14476.1,Buena
REM-2025-00128,2025/03/05, CC-101 ,Bonarda,Finca Agrelo,22224,9598,12626.0,24.2,8661.8,Aceptable
REM-2025-00129,05/03/2025, CC-102 , SYRAH ,Finca Gualtallary,29560,9153,20407.0,22.6,14375.0,
REM-2025-00130, 2025-03-05 , CC-102 ,malbec, Finca Gualtallary ,21170,9429,11741.0,25.4,8466.2, BUENA 
REM_00131,2025/03/05, CC-101 , CABERNET FRANC , Finca Agrelo ,31485,8028,23457.0,23.5,16346.6,Buena
REM-2025-00132,2025-03-06,CC-102,syrah,Finca Altamira,27019,8350,,"23,4",12716.9,optima
REM-2025-00133,2025/03/06, CC-102 ,cabernet franc,Finca Barrancas,28057,9215,18842.0,25.3,13151.1,
REM_00134, 06/03/2025 ,CC-102, SYRAH , Finca Agrelo ,21735,9238,12497.0,"26,5",9141.4,Buena
REM-2025-00135,2025-03-06, CC-101 , BONARDA , Finca Gualtallary ,25399,9564,15835.0,"23,1",11518.5,
 rem/00136 ,2025/03/07, CC-101 ,Cabernet Franc, Finca Gualtallary ,19460,10905,,"26,1",6137.6,Optima
REM-2025-00137,2025-03-07,CC-102,Malbec, Finca Altamira ,31460,8760,22700.0,23.0,16585.8,Aceptable
REM-2025-00138,2025-03-07,CC-102,Malbec,Finca Altamira,22474,8197,14277.0,24.6,9740.2,Aceptable
REM_00139,2025/03/07,CC-102,Cabernet Franc,Finca Barrancas,19563,9040,10523.0,26.1,7210.8,Aceptable
REM-2025-00140,08/03/2025,CC-102, BONARDA , Finca Gualtallary ,19779,8898,,25.8,7915.7,Buena
REM-2025-00141,08/03/2025,CC-101,Bonarda,Finca Barrancas,29511,10349,19162.0,25.7,14007.6,Optima
REM-2025-00142,2025/03/08,CC-101, MALBEC ,Finca Barrancas,18392,9108,9284.0,"26,3",6340.9,optima
REM-2025-00143,2025/03/08,CC-101,Bonarda,Finca Barrancas,31296,8961,,24.7,15959.4,Optima
REM-2025-00144,09/03/2025,CC-101, BONARDA ,Finca Gualtallary,21677,9700,11977.0,"26,4",8529.9,Optima
REM-2025-00145,2025/03/09, CC-101 ,Cabernet Franc,Finca Gualtallary,25690,9366,16324.0,23.5,11787.3,Buena
REM-2025-00146,09/03/2025, CC-101 , CHARDONNAY ,Finca Agrelo,30826,10786,20040.0,22.7,14347.9,Buena
REM-2025-00147,2025/03/09,CC-102,Bonarda,Finca Altamira,27604,10739,,24.7,11933.2, BUENA 
REM-2025-00148,2025/03/10, CC-102 , SYRAH ,Finca Agrelo,25422,8037,17385.0,25.2,11952.8,Aceptable
 rem/00149 ,10/03/2025, CC-102 , CABERNET FRANC ,Finca Gualtallary,27848,10975,16873.0,"23,3",11801.1,Buena
REM_00150,2025/03/10,CC-102,Malbec, Finca Altamira ,23442,10784,12658.0,24.6,9260.5,Buena
 rem/00151 ,10/03/2025,CC-101,Syrah,Finca Altamira,30171,8920,21251.0,22.8,15270.6,optima
REM-2025-00152,11/03/2025,CC-102,Chardonnay,Finca Altamira,29869,10308,19561.0,24.8,13613.9,Buena
REM-2025-00153,2025/03/11, CC-101 ,Malbec,Finca Barrancas,22792,10734,,23.0,8649.7,Buena
REM-2025-00154,2025/03/11, CC-101 ,bonarda,Finca Agrelo,28707,9438,19269.0,23.3,13952.7,Optima
REM_00155,2025/03/11,CC-101,Chardonnay,Finca Agrelo,24343,10263,,24.7,10035.9, BUENA 
REM-2025-00156,2025-03-12, CC-102 ,Bonarda, Finca Barrancas ,31809,10931,20878.0,24.2,15265.9,optima
REM-2025-00157,2025/03/12, CC-101 ,Syrah,Finca Agrelo,26742,9624,,22.9,11733.4, BUENA 
 rem/00158 ,2025-03-12, CC-102 , CABERNET FRANC ,Finca Altamira,18727,8879,,26.0,6772.8,optima
 rem/00159 , 2025-03-12 , CC-102 ,Syrah,Finca Barrancas,31809,10518,21291.0,22.9,15273.9,Buena
 rem/00160 ,13/03/2025, CC-102 , CHARDONNAY , Finca Barrancas ,25135,9009,16126.0,25.3,11059.2,Optima
REM-2025-00161,2025/03/13,CC-101,syrah, Finca Gualtallary ,25492,8213,,23.8,12540.9,Optima
 rem/00162 ,13/03/2025,CC-102, MALBEC , Finca Barrancas ,31265,9328,21937.0,"24,0",15467.2,optima
REM-2025-00163,2025/03/13, CC-102 ,Cabernet Franc, Finca Barrancas ,30740,8059,,23.7,16037.2,Optima
REM-2025-00164,14/03/2025, CC-101 ,Syrah, Finca Barrancas ,24617,9564,15053.0,25.5,10331.6,Aceptable
REM-2025-00165,2025/03/14, CC-102 , MALBEC ,Finca Altamira,26624,9176,17448.0,23.3,12361.4,Buena
REM_00166,2025-03-14, CC-102 ,syrah,Finca Agrelo,29242,10233,19009.0,24.6,13375.7, BUENA 
REM-2025-00167,2025/03/14,CC-102,chardonnay,Finca Altamira,23906,9463,14443.0,24.4,10246.1,
 rem/00168 ,2025-03-15,CC-102,Syrah,Finca Barrancas,27965,10848,17117.0,25.8,12054.0,optima
 rem/00169 ,2025-03-15,CC-101,Chardonnay,Finca Altamira,27120,9951,17169.0,24.5,12265.0,Optima
REM-2025-00170,15/03/2025,CC-101,Bonarda,Finca Altamira,28970,8325,20645.0,"25,7",14641.2,Buena
 rem/00171 ,2025-03-15,CC-102,Malbec, Finca Agrelo ,18595,8920,9675.0,22.9,6717.6,Optima
REM_00172,2025-03-16,CC-102,Cabernet Franc,Finca Gualtallary,23972,8858,15114.0,"25,6",10432.2, BUENA 
REM-2025-00173,16/03/2025,CC-102,Cabernet Franc,Finca Gualtallary,22317,8591,,25.3,10056.2,
REM-2025-00174,16/03/2025,CC-101,bonarda, Finca Barrancas ,28255,9447,18808.0,"22,8",13126.3,Optima
 rem/00175 , 16/03/2025 ,CC-102, CABERNET FRANC ,Finca Barrancas,28260,10275,17985.0,23.6,12428.8,Aceptable
 rem/00176 ,2025-03-17, CC-101 ,Malbec,Finca Altamira,22055,9306,,25.5,8826.9,Optima
REM-2025-00177, 2025-03-17 ,CC-101,Cabernet Franc,Finca Altamira,29867,8436,21431.0,22.6,15111.8, BUENA 
