ProductoID,CentroCostoID,Ene_Vol,Ene_Ing,Feb_Vol,Feb_Ing,Mar_Vol,Mar_Ing,Abr_Vol,Abr_Ing,May_Vol,May_Ing,Jun_Vol,Jun_Ing,Jul_Vol,Jul_Ing,Ago_Vol,Ago_Ing,Sep_Vol,Sep_Ing,Oct_Vol,Oct_Ing,Nov_Vol,Nov_Ing,Dic_Vol,Dic_Ing
PRD-01,CC-202,3023,12684784.2,3208,12970931.8,3231,13059420.0,3355,13689807.5,4181,16448361.6,3794,15468598.9,4715,19208167.5,4829,19909175.5,4438,18055795.8,4344,17988597.7,4136,16383832.9,3620,14589377.5
PRD-01,CC-203,1672,6718918.3,1809,7213415.3,1860,7603667.6,2089,8493776.0,2378,9788927.6,2234,9071132.7,2871,11972652.6,2986,11999347.8,2658,10911686.7,2830,11263540.8,2563,10294345.3,1987,8137420.1
PRD-02,CC-202,2148,15992588.8,2242,17221307.9,2346,17871157.1,2370,17432972.4,2881,22034186.7,2225,16931026.5,3123,23969397.7,3339,25223617.6,3006,22318232.8,3127,23581131.8,3073,22980291.9,2596,19855428.7
PRD-02,CC-203,1271,9726345.3,1366,10692663.2,1285,9882262.4,1419,10703252.9,1627,12604387.7,1401,10707406.1,2064,15098626.4,2061,15167156.6,1834,14279308.8,2049,14933636.1,1785,13679050.8,1628,12406437.4
PRD-03,CC-202,422,6242811.6,438,6414981.2,459,6802334.5,481,7060431.4,579,8295958.5,498,7500298.8,656,9369356.9,762,11324814.8,684,10071480.1,621,8868015.8,669,10343907.2,494,7170745.2
PRD-03,CC-203,277,4005912.7,265,3869823.0,295,4433262.4,291,4358094.5,351,5195646.6,280,3998271.6,422,6132683.5,451,6704346.9,404,6037692.7,409,6001320.5,371,5376099.4,308,4427098.0
PRD-04,CC-202,2935,23934555.8,3061,24838867.9,2965,24189030.3,3298,27529076.5,4147,33444900.5,3391,28818520.8,4732,40076525.4,5447,43773863.0,4344,35815691.3,4500,37163460.7,4368,35810841.5,3284,26741524.8
PRD-04,CC-203,1781,14587463.3,1809,14962358.9,2093,17205381.6,2031,16624115.8,2415,19665636.0,2103,17314834.1,2797,23117157.4,2817,23423532.7,2512,20221645.9,2657,21463094.4,2689,21716852.0,2060,16545499.4
PRD-05,CC-202,2230,33734053.8,1974,29840034.8,2098,32844085.5,2090,31890719.3,2871,42133910.7,2477,38184008.1,3236,49164224.4,3576,54221594.3,3006,45317547.1,3132,46445801.1,3118,46649200.7,2328,35442420.6
PRD-05,CC-203,1391,21427932.3,1252,19186911.9,1363,20549285.0,1393,20078076.9,1730,25608791.6,1443,21166387.6,1791,26558506.2,2179,34030774.3,1809,27938244.1,1836,26688185.7,1852,28240612.0,1477,22458311.3
PRD-06,CC-202,3104,13446161.7,2800,12287783.9,3245,14203070.4,3423,15609317.8,3946,17637096.3,3684,16470692.0,4799,20989310.7,5105,23413971.9,4433,19298401.3,4511,20386523.7,4404,19194087.9,3824,16434865.7
PRD-06,CC-203,1896,8354864.2,1742,7866012.6,2045,8804001.2,2059,8997727.3,2235,9716139.8,2185,9753935.2,2818,12432964.6,3088,13554468.3,2766,12228774.3,2722,12128352.4,2510,10907141.1,2342,10392767.4
