VBELN,FKDAT,MATNR,KUNNR,FKIMG,NETWR,WAVWR,VKBUR,INCO1
90011270,16/04/2022,prd-13,CLI-1603,35,360410.15,148931.6,cc-202,horeca
90018522,02/10/2024,prd-22,CLI-1555,223,30780096.02,10684349.18,cc-101,retail
90014734,24/11/2025,PRD-17,CLI-1237,168,1767145.55,11593712.34,CC-203,FOB
90004397,2022-04-23,PRD-05,CLI-1591,247,364142.43,2607809.62,CC-203,FOB
90017547,2023/12/09,PRD-21,CLI-1684,230,7266522.83,3483430.23,CC-202,HORECA
90026951,2022/08/10,PRD-33,CLI-1489,206,3727775.7,1398821.01,CC-202,HORECA
90020014,21/10/2023,PRD-24,CLI-1352,63,166506.53,1027802.62,CC-203,FOB
90029027,2024/08/14,PRD-35,CLI-1716,162,29467604.23,13278655.12,CC-101,RETAIL
90009164,13-10-2023,PRD-10,CLI-1959,64,202115.75,1180585.54,CC-203,FOB
90024285,2024-01-04,PRD-30,CLI-1614,219,1155357.3,6368944.36,CC-203,FOB
90028731,2023/04/14,PRD-35,CLI-1256,74,2913651.26,1355640.32,CC-101,HORECA
90021063,2025/01/26,prd-25,CLI-1067,202,12081352.84,6031207.72,cc-202,dist
90002774,03/02/2022,PRD-03,CLI-1869,38,78706.24,300166.25,CC-203,FOB
90028424,04-09-2021, prd-35 ,CLI-1384,172,2547933.94,1114649.2, cc-202 , horeca 
90024256,04-11-2023,PRD-30,CLI-1797,141,6907208.93,2560944.07,CC-101,HORECA
90009197,2023-12-09,PRD-10,CLI-1749,54,238883.76,1428051.2,CC-203,FOB
90026196,09-01-2024,PRD-32,CLI-1313,203,17153359.0,6620173.63,CC-101,RETAIL
90012548,22-10-2023,PRD-14,CLI-1615,218,5424512.19,2638478.94,CC-101,RETAIL
90007928,02-08-2022,PRD-09,CLI-1955,193,1750597.82,873117.95,CC-101,DIST
90022236,01-10-2024,PRD-27,CLI-1275,69,6382345.78,2883666.51,CC-101,DIST
90022507,2022/08/07,PRD-28,CLI-1076,110,2365949.53,882465.01,CC-202,DIST
90004436,04-07-2022,PRD-05,CLI-1711,39,1245114.34,488357.66,CC-202,RETAIL
90004473,2022-09-15,prd-05,CLI-1511,166,5883134.28,2359266.29,cc-202,dist
90004335,2021/11/17,PRD-05,CLI-1979,55,1243042.5,450605.86,CC-202,HORECA
90028723,2023/03/23,PRD-35,CLI-1863,56,2140618.01,931070.09,CC-202,HORECA
90010428,13-07-2021, prd-12 ,CLI-1745,31,123621.89,60080.1, cc-202 , retail 
90007981,2022-11-21,PRD-09,CLI-1400,86,998821.78,446124.35,CC-202,HORECA
90019568,07-08-2021,PRD-24,CLI-1485,243,144778.14,785253.33,CC-203,FOB
90028054,02/03/2024,PRD-34 ,CLI-1408,201,27308400.14,13202833.47,CC-101 ,HORECA 
90007892,18-07-2022,PRD-09,CLI-1569,105,920547.69,428924.78,CC-202,HORECA
90002315,2024/10/19,PRD-02,CLI-1960,100,13620144.8,5488581.49,CC-101,HORECA
90011412,09-11-2022,PRD-13,CLI-1549,252,360555.15,1617320.45,CC-203,FOB
90005426,22/06/2023,PRD-06,CLI-1403,105,2012307.08,965530.59,CC-202,RETAIL
90024434,19/11/2024,PRD-30,CLI-1546,101,12584669.46,4934186.85,CC-202,DIST
90016394,26/09/2022,prd-20,CLI-1318,49,182063.96,768852.08,cc-203,fob
90001218,06/02/2023,prd-01,CLI-1099,47,580469.05,297249.25,cc-202,dist
90006035,2021/08/17,PRD-07,CLI-1251,221,2365350.03,910414.58,CC-101,RETAIL
90022936,14-06-2021,PRD-29,CLI-1431,171,759000.9,345200.11,CC-202,DIST
90012295,2022/07/05,PRD-14,CLI-1385,192,1668046.91,793946.8,CC-101,RETAIL
90011258,12/03/2022,PRD-13 ,CLI-1444,241,2532423.42,938799.57,CC-101 ,HORECA 
