TransaccionID,DateKeyEmbarque,FechaEmbarque,ProductoID,PlazoDiasCobro,FechaCobroEstimada,ImporteFOB_USD,TipoCambioEmbarque,EstadoCobranza
TRX-90001005,20250102,2025-01-02,PRD-02,90,2025-04-02,1279.75,1050.03,Cobrado
TRX-90001013,20250105,2025-01-05,PRD-04,90,2025-04-05,950.36,1051.97,Cobrado
TRX-90001017,20250106,2025-01-06,PRD-05,90,2025-04-06,1541.56,1049.22,Cobrado
TRX-90001020,20250107,2025-01-07,PRD-05,90,2025-04-07,1142.46,1054.48,Cobrado
TRX-90001025,20250108,2025-01-08,PRD-02,60,2025-03-09,1327.78,1053.69,Cobrado
TRX-90001026,20250108,2025-01-08,PRD-03,60,2025-03-09,728.71,1053.69,Cobrado
TRX-90001028,20250109,2025-01-09,PRD-02,60,2025-03-10,1782.26,1054.54,Cobrado
TRX-90001029,20250109,2025-01-09,PRD-02,90,2025-04-09,485.8,1054.54,Cobrado
TRX-90001032,20250110,2025-01-10,PRD-03,90,2025-04-10,384.36,1056.11,Cobrado
TRX-90001036,20250112,2025-01-12,PRD-05,120,2025-05-12,1624.11,1060.24,Cobrado
TRX-90001052,20250116,2025-01-16,PRD-02,90,2025-04-16,602.97,1057.94,Cobrado
TRX-90001053,20250116,2025-01-16,PRD-01,120,2025-05-16,1684.67,1057.94,Cobrado
TRX-90001054,20250117,2025-01-17,PRD-03,90,2025-04-17,342.91,1061.89,Cobrado
TRX-90001056,20250117,2025-01-17,PRD-03,60,2025-03-18,102.33,1061.89,Cobrado
TRX-90001057,20250117,2025-01-17,PRD-03,90,2025-04-17,483.47,1061.89,Cobrado
TRX-90001060,20250118,2025-01-18,PRD-02,60,2025-03-19,802.36,1065.37,Cobrado
TRX-90001062,20250118,2025-01-18,PRD-04,90,2025-04-18,1207.25,1065.37,Cobrado
TRX-90001066,20250119,2025-01-19,PRD-01,60,2025-03-20,1613.85,1063.02,Cobrado
TRX-90001070,20250120,2025-01-20,PRD-03,60,2025-03-21,727.15,1063.48,Cobrado
TRX-90001073,20250120,2025-01-20,PRD-01,90,2025-04-20,1372.32,1063.48,Cobrado
TRX-90001074,20250120,2025-01-20,PRD-05,60,2025-03-21,769.18,1063.48,Cobrado
TRX-90001078,20250121,2025-01-21,PRD-01,90,2025-04-21,950.74,1065.91,Cobrado
TRX-90001086,20250123,2025-01-23,PRD-01,90,2025-04-23,1198.37,1065.49,Cobrado
TRX-90001089,20250124,2025-01-24,PRD-04,90,2025-04-24,677.96,1068.35,Cobrado
TRX-90001090,20250124,2025-01-24,PRD-03,90,2025-04-24,782.6,1068.35,Cobrado
TRX-90001092,20250124,2025-01-24,PRD-04,120,2025-05-24,1280.83,1068.35,Cobrado
TRX-90001096,20250125,2025-01-25,PRD-02,90,2025-04-25,922.07,1070.16,Cobrado
TRX-90001103,20250127,2025-01-27,PRD-05,90,2025-04-27,174.93,1070.65,Cobrado
TRX-90001106,20250127,2025-01-27,PRD-02,90,2025-04-27,1080.65,1070.65,Cobrado
TRX-90001107,20250128,2025-01-28,PRD-03,30,2025-02-27,750.57,1071.21,Cobrado
TRX-90001113,20250129,2025-01-29,PRD-02,120,2025-05-29,1609.6,1073.42,Cobrado
TRX-90001114,20250129,2025-01-29,PRD-04,90,2025-04-29,1189.36,1073.42,Cobrado
TRX-90001115,20250130,2025-01-30,PRD-03,60,2025-03-31,686.23,1069.57,Cobrado
TRX-90001117,20250130,2025-01-30,PRD-05,60,2025-03-31,1449.46,1069.57,Cobrado
TRX-90001118,20250130,2025-01-30,PRD-05,90,2025-04-30,190.51,1069.57,Cobrado
TRX-90001122,20250131,2025-01-31,PRD-04,60,2025-04-01,884.02,1074.66,Cobrado
TRX-90001123,20250201,2025-02-01,PRD-01,60,2025-04-02,769.51,1070.35,Cobrado
TRX-90001124,20250201,2025-02-01,PRD-03,30,2025-03-03,760.59,1070.35,Cobrado
TRX-90001125,20250201,2025-02-01,PRD-05,120,2025-06-01,1344.8,1070.35,Cobrado
TRX-90001129,20250202,2025-02-02,PRD-02,90,2025-05-03,501.15,1068.48,Cobrado
TRX-90001130,20250202,2025-02-02,PRD-01,60,2025-04-03,1658.77,1068.48,Cobrado
TRX-90001138,20250203,2025-02-03,PRD-04,60,2025-04-04,1234.83,1074.41,Cobrado
TRX-90001151,20250206,2025-02-06,PRD-01,90,2025-05-07,417.75,1080.32,Cobrado
TRX-90001152,20250207,2025-02-07,PRD-04,30,2025-03-09,1320.53,1076.53,Cobrado
TRX-90001153,20250207,2025-02-07,PRD-04,90,2025-05-08,175.82,1076.53,Cobrado
