Modelo,Threshold,FPR,TPR,Youden_J,EsPuntoOptimo
Regresion_Logistica_L2,1.0,0.0,0.0,0.0,False
Regresion_Logistica_L2,0.9896,0.0,0.0175,0.0175,False
Regresion_Logistica_L2,0.774,0.0,0.3158,0.3158,False
Regresion_Logistica_L2,0.7702,0.0645,0.3158,0.2513,False
Regresion_Logistica_L2,0.758,0.0645,0.3684,0.3039,False
Regresion_Logistica_L2,0.7543,0.129,0.3684,0.2394,False
Regresion_Logistica_L2,0.7278,0.129,0.4561,0.3271,False
Regresion_Logistica_L2,0.7039,0.2581,0.4561,0.1981,False
Regresion_Logistica_L2,0.6991,0.2581,0.4912,0.2332,False
Regresion_Logistica_L2,0.69,0.2903,0.4912,0.2009,False
Regresion_Logistica_L2,0.6496,0.2903,0.5789,0.2886,False
Regresion_Logistica_L2,0.6476,0.3226,0.5789,0.2564,False
Regresion_Logistica_L2,0.5788,0.3226,0.7544,0.4318,False
Regresion_Logistica_L2,0.5748,0.3548,0.7544,0.3995,False
Regresion_Logistica_L2,0.568,0.3548,0.7719,0.4171,False
Regresion_Logistica_L2,0.5602,0.3871,0.7719,0.3848,False
Regresion_Logistica_L2,0.5366,0.3871,0.8772,0.4901,True
Regresion_Logistica_L2,0.5273,0.4194,0.8772,0.4578,False
Regresion_Logistica_L2,0.5248,0.4194,0.8947,0.4754,False
Regresion_Logistica_L2,0.5246,0.4516,0.8947,0.4431,False
Regresion_Logistica_L2,0.5245,0.4516,0.9123,0.4607,False
Regresion_Logistica_L2,0.4845,0.5806,0.9123,0.3316,False
Regresion_Logistica_L2,0.4804,0.5806,0.9298,0.3492,False
Regresion_Logistica_L2,0.4465,0.6774,0.9298,0.2524,False
Regresion_Logistica_L2,0.4459,0.6774,0.9474,0.2699,False
Regresion_Logistica_L2,0.4367,0.7097,0.9474,0.2377,False
Regresion_Logistica_L2,0.4185,0.7097,0.9825,0.2728,False
Regresion_Logistica_L2,0.3476,0.9032,0.9825,0.0792,False
Regresion_Logistica_L2,0.3288,0.9032,1.0,0.0968,False
Regresion_Logistica_L2,0.3061,1.0,1.0,0.0,False
Random_Forest_Classifier,1.0,0.0,0.0,0.0,False
Random_Forest_Classifier,0.9277,0.0,0.0175,0.0175,False
Random_Forest_Classifier,0.8769,0.0,0.1228,0.1228,False
Random_Forest_Classifier,0.8594,0.0645,0.1228,0.0583,False
Random_Forest_Classifier,0.8515,0.0645,0.1754,0.1109,False
Random_Forest_Classifier,0.8511,0.0968,0.1754,0.0787,False
Random_Forest_Classifier,0.8056,0.0968,0.2632,0.1664,False
Random_Forest_Classifier,0.805,0.129,0.2632,0.1341,False
Random_Forest_Classifier,0.7971,0.129,0.3158,0.1868,False
Random_Forest_Classifier,0.7933,0.1613,0.3158,0.1545,False
Random_Forest_Classifier,0.7912,0.1613,0.3333,0.172,False
Random_Forest_Classifier,0.7837,0.1935,0.3333,0.1398,False
Random_Forest_Classifier,0.7797,0.1935,0.3509,0.1573,False
Random_Forest_Classifier,0.7672,0.2258,0.3509,0.1251,False
Random_Forest_Classifier,0.6628,0.2258,0.6491,0.4233,False
Random_Forest_Classifier,0.6602,0.2581,0.6491,0.3911,False
Random_Forest_Classifier,0.6556,0.2581,0.6667,0.4086,False
Random_Forest_Classifier,0.6528,0.2903,0.6667,0.3763,False
Random_Forest_Classifier,0.6242,0.2903,0.7368,0.4465,False
Random_Forest_Classifier,0.6189,0.3226,0.7368,0.4143,False
Random_Forest_Classifier,0.5943,0.3226,0.7895,0.4669,False
Random_Forest_Classifier,0.5785,0.3548,0.7895,0.4346,False
Random_Forest_Classifier,0.5524,0.3548,0.8246,0.4697,True
Random_Forest_Classifier,0.5478,0.3871,0.8246,0.4375,False
Random_Forest_Classifier,0.5471,0.3871,0.8421,0.455,False
Random_Forest_Classifier,0.5332,0.4194,0.8421,0.4228,False
Random_Forest_Classifier,0.5291,0.4194,0.8772,0.4578,False
Random_Forest_Classifier,0.5259,0.4839,0.8772,0.3933,False
Random_Forest_Classifier,0.5052,0.4839,0.9123,0.4284,False
Random_Forest_Classifier,0.4952,0.5806,0.9123,0.3316,False
Random_Forest_Classifier,0.4634,0.5806,0.9474,0.3667,False
Random_Forest_Classifier,0.4448,0.6452,0.9474,0.3022,False
Random_Forest_Classifier,0.419,0.6452,1.0,0.3548,False
Random_Forest_Classifier,0.2878,1.0,1.0,0.0,False
Gradient_Boosting_Tree,1.0,0.0,0.0,0.0,False
Gradient_Boosting_Tree,0.9834,0.0,0.0175,0.0175,False
Gradient_Boosting_Tree,0.9419,0.0,0.1404,0.1404,False
Gradient_Boosting_Tree,0.9304,0.0323,0.1404,0.1081,False
Gradient_Boosting_Tree,0.9233,0.0323,0.1754,0.1432,False
Gradient_Boosting_Tree,0.8986,0.1935,0.1754,-0.0181,False
Gradient_Boosting_Tree,0.8133,0.1935,0.3684,0.1749,False
Gradient_Boosting_Tree,0.8057,0.2258,0.3684,0.1426,False
Gradient_Boosting_Tree,0.7974,0.2258,0.4035,0.1777,False
Gradient_Boosting_Tree,0.7903,0.2581,0.4035,0.1454,False
Gradient_Boosting_Tree,0.6093,0.2581,0.7895,0.5314,False
Gradient_Boosting_Tree,0.6018,0.2903,0.7895,0.4992,False
Gradient_Boosting_Tree,0.5746,0.2903,0.8246,0.5342,True
Gradient_Boosting_Tree,0.572,0.3871,0.8246,0.4375,False
Gradient_Boosting_Tree,0.5357,0.3871,0.8596,0.4726,False
Gradient_Boosting_Tree,0.5336,0.4194,0.8596,0.4403,False
Gradient_Boosting_Tree,0.5317,0.4194,0.8772,0.4578,False
Gradient_Boosting_Tree,0.5198,0.4516,0.8772,0.4256,False
Gradient_Boosting_Tree,0.4806,0.4516,0.9298,0.4782,False
Gradient_Boosting_Tree,0.4587,0.4839,0.9298,0.446,False
Gradient_Boosting_Tree,0.4206,0.4839,0.9474,0.4635,False
Gradient_Boosting_Tree,0.2882,0.7419,0.9474,0.2054,False
Gradient_Boosting_Tree,0.2615,0.7419,0.9649,0.223,False
Gradient_Boosting_Tree,0.1832,0.8387,0.9649,0.1262,False
Gradient_Boosting_Tree,0.1482,0.8387,1.0,0.1613,False
Gradient_Boosting_Tree,0.0953,1.0,1.0,0.0,False
