Fecha,DateKey,VolumenReal,Forecast_SARIMAX,Forecast_GBDT,Forecast_RandomForest,Error_SARIMAX,Error_GBDT,IC_Inferior_95,IC_Superior_95,ModeloGanador
2025-01-01,20250101,140396.0,129459.37,142951.1,143172.73,10936.63,-2555.1,142101.31,143800.9,Benchmark SARIMAX
2025-02-01,20250201,142909.0,132025.79,146716.72,147748.55,10883.21,-3807.72,145866.93,147566.52,Benchmark SARIMAX
2025-03-01,20250301,156765.0,149133.18,151362.08,150812.16,7631.82,5402.92,150512.28,152211.88,Benchmark SARIMAX
2025-04-01,20250401,164842.0,156344.44,150379.25,153480.59,8497.56,14462.75,149529.46,151229.05,Benchmark SARIMAX
2025-05-01,20250501,185184.0,182412.65,193881.35,193725.8,2771.35,-8697.35,193031.55,194731.14,Benchmark SARIMAX
2025-06-01,20250601,164237.0,175775.4,164449.48,163039.23,-11538.4,-212.48,163599.68,165299.27,Benchmark SARIMAX
2025-07-01,20250701,211338.0,214619.62,204837.37,204243.4,-3281.62,6500.63,203987.57,205687.16,Benchmark SARIMAX
2025-08-01,20250801,229219.0,227056.11,229262.4,231004.45,2162.89,-43.4,228412.61,230112.2,Benchmark SARIMAX
2025-09-01,20250901,183399.0,186039.87,191415.84,196624.22,-2640.87,-8016.84,190566.05,192265.64,Benchmark SARIMAX
2025-10-01,20251001,199781.0,194545.66,220530.11,227781.94,5235.34,-20749.11,219680.32,221379.91,Benchmark SARIMAX
2025-11-01,20251101,206381.0,206142.72,198379.61,203176.42,238.28,8001.39,197529.81,199229.4,Benchmark SARIMAX
2025-12-01,20251201,167813.0,165106.76,167061.05,166725.92,2706.24,751.95,166211.25,167910.84,Benchmark SARIMAX
