ClienteID,RazonSocial,Canal,VolumenMensualCajas,PlazoPagoDias,ProbabilidadDefault,ScoreRiesgo,NivelRiesgo,PrescripcionAccion
CLI-0001,Distribuidora / Importador 1,Distribuidor Mayorista,2690,60,0.6063,60.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0002,Distribuidora / Importador 2,Distribuidor Mayorista,1619,45,0.758,75.8,🔴 CRITICO,Exigir pago anticipado
CLI-0003,Distribuidora / Importador 3,Distribuidor Mayorista,3036,45,0.4134,41.3,🟢 BAJO,Mantener linea ordinaria
CLI-0004,Distribuidora / Importador 4,Distribuidor Mayorista,6115,90,0.7944,79.4,🔴 CRITICO,Exigir pago anticipado
CLI-0005,Distribuidora / Importador 5,Distribuidor Mayorista,1499,30,0.4139,41.4,🟢 BAJO,Mantener linea ordinaria
CLI-0006,Distribuidora / Importador 6,Distribuidor Mayorista,1499,45,0.4765,47.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0007,Distribuidora / Importador 7,Distribuidor Mayorista,6396,30,0.4919,49.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0008,Distribuidora / Importador 8,Exportacion FOB,3341,45,0.7649,76.5,🔴 CRITICO,Exigir pago anticipado
CLI-0009,Distribuidora / Importador 9,Exportacion FOB,1242,30,0.5467,54.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0010,Distribuidora / Importador 10,Distribuidor Mayorista,2791,30,0.5593,55.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0011,Distribuidora / Importador 11,Distribuidor Mayorista,1248,30,0.6199,62.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0012,Distribuidora / Importador 12,Distribuidor Mayorista,1246,60,0.6849,68.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0013,Distribuidora / Importador 13,Distribuidor Mayorista,2194,60,0.6643,66.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0014,Distribuidora / Importador 14,Distribuidor Mayorista,391,45,0.5035,50.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0015,Distribuidora / Importador 15,Exportacion FOB,455,120,0.9864,98.6,🔴 CRITICO,Exigir pago anticipado
CLI-0016,Distribuidora / Importador 16,Distribuidor Mayorista,1153,45,0.4172,41.7,🟢 BAJO,Mantener linea ordinaria
CLI-0017,Distribuidora / Importador 17,Distribuidor Mayorista,804,45,0.4995,49.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0018,Distribuidora / Importador 18,Distribuidor Mayorista,2325,90,0.8838,88.4,🔴 CRITICO,Exigir pago anticipado
CLI-0019,Distribuidora / Importador 19,Distribuidor Mayorista,874,30,0.2863,28.6,🟢 BAJO,Mantener linea ordinaria
CLI-0020,Distribuidora / Importador 20,Distribuidor Mayorista,584,120,0.9223,92.2,🔴 CRITICO,Exigir pago anticipado
CLI-0021,Distribuidora / Importador 21,Distribuidor Mayorista,5840,30,0.5019,50.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0022,Distribuidora / Importador 22,Distribuidor Mayorista,1509,120,0.9245,92.4,🔴 CRITICO,Exigir pago anticipado
CLI-0023,Distribuidora / Importador 23,Distribuidor Mayorista,1908,30,0.5874,58.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0024,Distribuidora / Importador 24,Distribuidor Mayorista,578,90,0.7278,72.8,🔴 CRITICO,Exigir pago anticipado
CLI-0025,Distribuidora / Importador 25,Distribuidor Mayorista,1170,45,0.4548,45.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0026,Distribuidora / Importador 26,Distribuidor Mayorista,1976,120,0.8361,83.6,🔴 CRITICO,Exigir pago anticipado
CLI-0027,Distribuidora / Importador 27,Exportacion FOB,720,30,0.5047,50.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0028,Distribuidora / Importador 28,Distribuidor Mayorista,2442,45,0.5443,54.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0029,Distribuidora / Importador 29,Distribuidor Mayorista,1118,120,0.9349,93.5,🔴 CRITICO,Exigir pago anticipado
CLI-0030,Distribuidora / Importador 30,Distribuidor Mayorista,1432,45,0.5697,57.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0031,Distribuidora / Importador 31,Distribuidor Mayorista,1117,60,0.631,63.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0032,Distribuidora / Importador 32,Distribuidor Mayorista,7957,60,0.833,83.3,🔴 CRITICO,Exigir pago anticipado
CLI-0033,Distribuidora / Importador 33,Distribuidor Mayorista,1789,45,0.6233,62.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0034,Distribuidora / Importador 34,Exportacion FOB,776,60,0.7542,75.4,🔴 CRITICO,Exigir pago anticipado
CLI-0035,Distribuidora / Importador 35,Distribuidor Mayorista,3491,45,0.4372,43.7,🟢 BAJO,Mantener linea ordinaria
CLI-0036,Distribuidora / Importador 36,Distribuidor Mayorista,681,90,0.8212,82.1,🔴 CRITICO,Exigir pago anticipado
CLI-0037,Distribuidora / Importador 37,Distribuidor Mayorista,2137,30,0.483,48.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0038,Distribuidora / Importador 38,Exportacion FOB,377,45,0.598,59.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0039,Distribuidora / Importador 39,Distribuidor Mayorista,625,120,0.9279,92.8,🔴 CRITICO,Exigir pago anticipado
CLI-0040,Distribuidora / Importador 40,Distribuidor Mayorista,2116,90,0.7798,78.0,🔴 CRITICO,Exigir pago anticipado
CLI-0041,Distribuidora / Importador 41,Distribuidor Mayorista,3264,45,0.6069,60.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0042,Distribuidora / Importador 42,Distribuidor Mayorista,2074,60,0.5558,55.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0043,Distribuidora / Importador 43,Distribuidor Mayorista,1648,45,0.568,56.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0044,Distribuidora / Importador 44,Distribuidor Mayorista,1421,30,0.4711,47.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0045,Distribuidora / Importador 45,Distribuidor Mayorista,554,45,0.3959,39.6,🟢 BAJO,Mantener linea ordinaria
CLI-0046,Distribuidora / Importador 46,Distribuidor Mayorista,1017,45,0.5292,52.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0047,Distribuidora / Importador 47,Distribuidor Mayorista,1251,45,0.6043,60.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0048,Distribuidora / Importador 48,Distribuidor Mayorista,4212,30,0.4784,47.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0049,Distribuidora / Importador 49,Exportacion FOB,2380,120,0.9497,95.0,🔴 CRITICO,Exigir pago anticipado
CLI-0050,Distribuidora / Importador 50,Distribuidor Mayorista,441,120,0.9143,91.4,🔴 CRITICO,Exigir pago anticipado
CLI-0051,Distribuidora / Importador 51,Distribuidor Mayorista,2343,60,0.7268,72.7,🔴 CRITICO,Exigir pago anticipado
CLI-0052,Distribuidora / Importador 52,Distribuidor Mayorista,1329,45,0.4651,46.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0053,Distribuidora / Importador 53,Distribuidor Mayorista,1052,45,0.6119,61.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0054,Distribuidora / Importador 54,Exportacion FOB,2949,90,0.9487,94.9,🔴 CRITICO,Exigir pago anticipado
