ProductoID,SKU,Descripcion,Linea,Segmento,Varietal,FormatoML,CostoEstandarUnit,PrecioPresupuestadoUnit,CategoriaABC
PRD-01,MAL-CLA-750,Malbec 750ml,Entrada / Volumen,Entrada,Malbec,750,42137.14,79497.74,Clase A
PRD-02,MAL-RES-750,Malbec Reserva 750ml,Alta Gama,Reserva,Malbec,750,64859.31,122142.01,Clase B
PRD-03,MAL-ICO-750,Malbec Gran Reserva 750ml,Icono / Super Premium,Gran Reserva / Icono,Malbec,750,109980.08,125960.05,Clase C
PRD-04,MAL-CLA-1500,Malbec Magnum 1.5L,Entrada / Volumen,Entrada,Malbec,1500,83934.93,161196.1,Clase A
PRD-05,MAL-RES-1500,Malbec Reserva Magnum 1.5L,Alta Gama,Reserva,Malbec,1500,129306.33,222469.26,Clase B
PRD-06,CAF-CLA-750,Cabernet Franc 750ml,Entrada / Volumen,Entrada,Cabernet Franc,750,45337.97,86437.81,Clase A
PRD-07,CAF-RES-750,Cabernet Franc Reserva 750ml,Alta Gama,Reserva,Cabernet Franc,750,71106.97,122983.36,Clase C
PRD-08,CAF-ICO-750,Cabernet Franc Gran Reserva 750ml,Icono / Super Premium,Gran Reserva / Icono,Cabernet Franc,750,117367.04,215272.38,Clase C
PRD-09,CAS-CLA-750,Cabernet Sauvignon 750ml,Entrada / Volumen,Entrada,Cabernet Sauvignon,750,42916.31,82416.9,Clase A
PRD-10,CAS-RES-750,Cabernet Sauvignon Reserva 750ml,Alta Gama,Reserva,Cabernet Sauvignon,750,66952.62,109880.61,Clase B
PRD-11,CAS-ICO-750,Cabernet Sauvignon Gran Reserva 750ml,Icono / Super Premium,Gran Reserva / Icono,Cabernet Sauvignon,750,110467.89,167911.46,Clase C
PRD-12,BON-CLA-750,Bonarda 750ml,Entrada / Volumen,Entrada,Bonarda,750,34189.27,64363.19,Clase A
PRD-13,BON-RES-750,Bonarda Reserva 750ml,Alta Gama,Reserva,Bonarda,750,54179.33,90226.02,Clase C
PRD-14,SYR-CLA-750,Syrah 750ml,Entrada / Volumen,Entrada,Syrah,750,42110.9,80335.36,Clase A
PRD-15,SYR-RES-750,Syrah Reserva 750ml,Alta Gama,Reserva,Syrah,750,65053.03,120057.35,Clase B
PRD-16,MER-CLA-750,Merlot 750ml,Entrada / Volumen,Entrada,Merlot,750,40905.46,79157.55,Clase A
PRD-17,MER-RES-750,Merlot Reserva 750ml,Alta Gama,Reserva,Merlot,750,63524.41,107349.73,Clase C
PRD-18,BLC-CLA-750,Blend Corte Bordeles 750ml,Entrada / Volumen,Entrada,Blend Corte Bordeles,750,53166.09,99342.98,Clase B
PRD-19,BLC-RES-750,Blend Corte Bordeles Reserva 750ml,Alta Gama,Reserva,Blend Corte Bordeles,750,82118.99,143712.42,Clase B
PRD-20,BLC-ICO-750,Blend Corte Bordeles Gran Reserva 750ml,Icono / Super Premium,Gran Reserva / Icono,Blend Corte Bordeles,750,135912.29,300971.6,Clase C
PRD-21,CHA-CLA-750,Chardonnay 750ml,Entrada / Volumen,Entrada,Chardonnay,750,38632.65,73684.02,Clase A
PRD-22,CHA-RES-750,Chardonnay Reserva 750ml,Alta Gama,Reserva,Chardonnay,750,59933.06,99126.25,Clase C
PRD-23,SAB-CLA-750,Sauvignon Blanc 750ml,Entrada / Volumen,Entrada,Sauvignon Blanc,750,36277.64,70383.61,Clase A
PRD-24,SAB-RES-750,Sauvignon Blanc Reserva 750ml,Alta Gama,Reserva,Sauvignon Blanc,750,56161.92,99440.63,Clase A
PRD-25,TOR-CLA-750,Torrontes 750ml,Entrada / Volumen,Entrada,Torrontes,750,33167.92,60675.07,Clase A
PRD-26,TOR-RES-750,Torrontes Reserva 750ml,Alta Gama,Reserva,Torrontes,750,51435.57,88717.68,Clase C
PRD-27,PIN-CLA-750,Pinot Noir 750ml,Entrada / Volumen,Entrada,Pinot Noir,750,51154.94,97548.05,Clase B
PRD-28,PIN-RES-750,Pinot Noir Reserva 750ml,Alta Gama,Reserva,Pinot Noir,750,78877.76,134760.22,Clase B
PRD-29,ROS-CLA-750,Rose de Malbec 750ml,Entrada / Volumen,Entrada,Rose de Malbec,750,37623.96,72137.24,Clase A
PRD-30,ROS-RES-750,Rose de Malbec Reserva 750ml,Alta Gama,Reserva,Rose de Malbec,750,57925.89,103425.21,Clase C
PRD-31,CHA-ESP-750,Chardonnay Extra Brut 750ml,Espumantes,Espumante,Chardonnay Extra Brut,750,67197.71,143031.66,Clase B
PRD-32,ROS-ESP-750,Rose Brut 750ml,Espumantes,Espumante,Rose Brut,750,66950.03,144689.04,Clase C
PRD-33,MAL-ESP-750,Malbec Brut Nature 750ml,Espumantes,Espumante,Malbec Brut Nature,750,67693.2,143239.89,Clase C
PRD-34,MAL-BIB-3000,Bag in Box Malbec 3L,Granel / Masivo,Granel / Masivo,Malbec,3000,108434.93,226201.38,Clase A
PRD-35,BON-BIB-3000,Bag in Box Bonarda 3L,Granel / Masivo,Granel / Masivo,Bonarda,3000,109479.7,229369.17,Clase A
PRD-36,BLT-BIB-3000,Bag in Box Blend Tinto 3L,Granel / Masivo,Granel / Masivo,Blend Tinto,3000,97715.84,203044.71,Clase A
