Percentil,FlujoAcumuladoSimulado,ZonaRiesgo,ColorZona
0.5,-39764876.79,Cola Critica 1%,#EF4444
1.5,-32377824.54,Cola Alerta 5%,#F59E0B
2.5,-28094703.03,Cola Alerta 5%,#F59E0B
3.5,-25484173.84,Cola Alerta 5%,#F59E0B
4.5,-23397919.83,Cola Alerta 5%,#F59E0B
5.5,-21509593.17,Rango Mediano,#0EA5E9
6.5,-20047214.43,Rango Mediano,#0EA5E9
7.5,-18589714.84,Rango Mediano,#0EA5E9
8.5,-17206500.77,Rango Mediano,#0EA5E9
9.5,-16351235.39,Rango Mediano,#0EA5E9
10.5,-15070682.66,Rango Mediano,#0EA5E9
11.5,-14151522.44,Rango Mediano,#0EA5E9
12.5,-13345990.93,Rango Mediano,#0EA5E9
13.5,-12467754.81,Rango Mediano,#0EA5E9
14.5,-11577443.55,Rango Mediano,#0EA5E9
15.5,-10753309.2,Rango Mediano,#0EA5E9
16.5,-10081190.36,Rango Mediano,#0EA5E9
17.5,-9308539.72,Rango Mediano,#0EA5E9
18.5,-8746017.61,Rango Mediano,#0EA5E9
19.5,-8168582.94,Rango Mediano,#0EA5E9
20.5,-7616257.35,Rango Mediano,#0EA5E9
21.5,-6978152.03,Rango Mediano,#0EA5E9
22.5,-6428226.58,Rango Mediano,#0EA5E9
23.5,-5924287.0,Rango Mediano,#0EA5E9
24.5,-5397281.49,Rango Mediano,#0EA5E9
25.5,-4785581.36,Rango Mediano,#0EA5E9
26.5,-4231129.58,Rango Mediano,#0EA5E9
27.5,-3711881.45,Rango Mediano,#0EA5E9
28.5,-3169026.04,Rango Mediano,#0EA5E9
29.5,-2616079.71,Rango Mediano,#0EA5E9
30.5,-2132407.01,Rango Mediano,#0EA5E9
31.5,-1779402.61,Rango Mediano,#0EA5E9
32.5,-1331522.44,Rango Mediano,#0EA5E9
33.5,-926767.07,Rango Mediano,#0EA5E9
34.5,-468931.59,Rango Mediano,#0EA5E9
35.5,34924.6,Rango Mediano,#0EA5E9
36.5,531084.57,Rango Mediano,#0EA5E9
37.5,972053.76,Rango Mediano,#0EA5E9
38.5,1419711.53,Rango Mediano,#0EA5E9
39.5,1912552.45,Rango Mediano,#0EA5E9
40.5,2364707.2,Rango Mediano,#0EA5E9
41.5,2913789.6,Rango Mediano,#0EA5E9
42.5,3434868.18,Rango Mediano,#0EA5E9
43.5,3826851.67,Rango Mediano,#0EA5E9
44.5,4275949.56,Rango Mediano,#0EA5E9
45.5,4657926.82,Rango Mediano,#0EA5E9
46.5,5109667.37,Rango Mediano,#0EA5E9
47.5,5504845.34,Rango Mediano,#0EA5E9
48.5,5979877.08,Rango Mediano,#0EA5E9
49.5,6434470.2,Rango Mediano,#0EA5E9
50.5,6846643.8,Rango Mediano,#0EA5E9
51.5,7271097.46,Rango Mediano,#0EA5E9
52.5,7726776.8,Rango Mediano,#0EA5E9
53.5,8193832.84,Rango Mediano,#0EA5E9
54.5,8667534.3,Rango Mediano,#0EA5E9
55.5,9089808.33,Rango Mediano,#0EA5E9
56.5,9526516.83,Rango Mediano,#0EA5E9
57.5,9955569.51,Rango Mediano,#0EA5E9
58.5,10324440.37,Rango Mediano,#0EA5E9
59.5,10768459.9,Rango Mediano,#0EA5E9
60.5,11259402.11,Rango Mediano,#0EA5E9
61.5,11645343.74,Rango Mediano,#0EA5E9
62.5,12083539.54,Rango Mediano,#0EA5E9
63.5,12519439.56,Rango Mediano,#0EA5E9
64.5,12986434.02,Rango Mediano,#0EA5E9
65.5,13445454.18,Rango Mediano,#0EA5E9
66.5,13995080.22,Rango Mediano,#0EA5E9
67.5,14574898.47,Rango Mediano,#0EA5E9
68.5,15055134.7,Rango Mediano,#0EA5E9
69.5,15537330.74,Rango Mediano,#0EA5E9
70.5,16085919.7,Rango Mediano,#0EA5E9
71.5,16646013.85,Rango Mediano,#0EA5E9
72.5,17150311.29,Rango Mediano,#0EA5E9
73.5,17636498.73,Rango Mediano,#0EA5E9
74.5,18249114.68,Rango Mediano,#0EA5E9
75.5,18810251.29,Rango Mediano,#0EA5E9
76.5,19349416.39,Rango Mediano,#0EA5E9
77.5,19946406.07,Rango Mediano,#0EA5E9
78.5,20600559.95,Rango Mediano,#0EA5E9
79.5,21166431.19,Rango Mediano,#0EA5E9
80.5,21872032.12,Rango Mediano,#0EA5E9
81.5,22480308.43,Rango Mediano,#0EA5E9
82.5,23127586.48,Rango Mediano,#0EA5E9
83.5,24019769.89,Rango Mediano,#0EA5E9
84.5,24771708.54,Rango Mediano,#0EA5E9
85.5,25515472.56,Rango Mediano,#0EA5E9
86.5,26237202.83,Rango Mediano,#0EA5E9
87.5,27149249.15,Rango Mediano,#0EA5E9
88.5,28067199.55,Rango Mediano,#0EA5E9
89.5,28911612.78,Rango Mediano,#0EA5E9
90.5,30018031.85,Rango Mediano,#0EA5E9
91.5,31059582.25,Rango Mediano,#0EA5E9
92.5,32283082.8,Rango Mediano,#0EA5E9
93.5,33498310.01,Rango Mediano,#0EA5E9
94.5,35029384.4,Rango Mediano,#0EA5E9
95.5,36944344.26,Cola Superavitaria,#10B981
96.5,38870394.16,Cola Superavitaria,#10B981
97.5,41610393.46,Cola Superavitaria,#10B981
98.5,45325181.02,Cola Superavitaria,#10B981
99.5,53293917.79,Cola Superavitaria,#10B981
