Fecha,DateKey,FlujoNetoDiario,SaldoEfectivoReal,BandaInferior_L,PuntoRetorno_Z,BandaSuperior_H,SaldoPromedioEsperado,SaldoOcioso,CostoOportunidadDiario,AccionRecomendada,MontoOperacion
2025-01-02,20250102,1824485.29,13785526.15,8500000.0,11961040.86,18883122.59,13114721.15,1824485.29,1515.14,ZONA DE EQUILIBRIO,0.0
2025-01-03,20250103,-207445.76,13578080.39,8500000.0,11961040.86,18883122.59,13114721.15,1617039.53,1342.86,ZONA DE EQUILIBRIO,0.0
2025-01-06,20250106,2307603.32,15885683.71,8500000.0,11961040.86,18883122.59,13114721.15,3924642.85,3259.21,ZONA DE EQUILIBRIO,0.0
2025-01-07,20250107,5108695.54,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,INVERTIR EN LECAP / MM,9033338.39
2025-01-08,20250108,-514290.8,11446750.06,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-09,20250109,-514238.26,10932511.8,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-10,20250110,5288481.01,16220992.81,8500000.0,11961040.86,18883122.59,13114721.15,4259951.95,3537.66,ZONA DE EQUILIBRIO,0.0
2025-01-13,20250113,2690791.13,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,INVERTIR EN LECAP / MM,6950743.08
2025-01-14,20250114,-1267318.03,10693722.83,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-15,20250115,1971192.14,12664914.97,8500000.0,11961040.86,18883122.59,13114721.15,703874.1,584.53,ZONA DE EQUILIBRIO,0.0
2025-01-16,20250116,-1247936.62,11416978.35,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-17,20250117,-1255335.21,10161643.14,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-20,20250120,1009279.27,11170922.41,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-21,20250121,-5887496.78,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,6677615.24
2025-01-22,20250122,-5284737.06,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,5284737.06
2025-01-23,20250123,-1564320.09,10396720.77,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-24,20250124,-3006059.59,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,4570379.68
2025-01-27,20250127,1240591.46,13201632.33,8500000.0,11961040.86,18883122.59,13114721.15,1240591.46,1030.24,ZONA DE EQUILIBRIO,0.0
2025-01-28,20250128,-2670677.04,10530955.28,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-01-29,20250129,-4284371.84,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,5714457.42
2025-01-30,20250130,4925076.06,16886116.92,8500000.0,11961040.86,18883122.59,13114721.15,4925076.06,4090.01,ZONA DE EQUILIBRIO,0.0
2025-01-31,20250131,-487484.16,16398632.76,8500000.0,11961040.86,18883122.59,13114721.15,4437591.9,3685.18,ZONA DE EQUILIBRIO,0.0
2025-02-03,20250203,-448909.74,15949723.02,8500000.0,11961040.86,18883122.59,13114721.15,3988682.15,3312.39,ZONA DE EQUILIBRIO,0.0
2025-02-04,20250204,-5224194.2,10725528.82,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-05,20250205,-2407024.72,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,3642536.76
2025-02-06,20250206,-310047.71,11650993.15,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-07,20250207,-4348179.45,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,4658227.16
2025-02-10,20250210,537233.66,12498274.52,8500000.0,11961040.86,18883122.59,13114721.15,537233.66,446.14,ZONA DE EQUILIBRIO,0.0
2025-02-11,20250211,-2587043.81,9911230.71,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-12,20250212,-1598420.0,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,3648230.15
2025-02-13,20250213,-2590461.16,9370579.7,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-14,20250214,5262290.19,14632869.89,8500000.0,11961040.86,18883122.59,13114721.15,2671829.03,2218.81,ZONA DE EQUILIBRIO,0.0
2025-02-17,20250217,-708191.12,13924678.77,8500000.0,11961040.86,18883122.59,13114721.15,1963637.91,1630.7,ZONA DE EQUILIBRIO,0.0
2025-02-18,20250218,-4049674.97,9875003.8,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-19,20250219,1967143.72,11842147.52,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
2025-02-20,20250220,-4571699.68,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,4690593.02
2025-02-21,20250221,3363.5,11964404.37,8500000.0,11961040.86,18883122.59,13114721.15,3363.5,2.79,ZONA DE EQUILIBRIO,0.0
2025-02-24,20250224,-6935944.4,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,6932580.89
2025-02-25,20250225,-4915195.36,11961040.86,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,RESCATAR FONDOS,4915195.36
2025-02-26,20250226,-35044.05,11925996.82,8500000.0,11961040.86,18883122.59,13114721.15,0.0,0.0,ZONA DE EQUILIBRIO,0.0
