TransaccionID,DateKey,Fecha,ProductoID,CentroCostoID,VolumenReal,PrecioRealUnit,CostoRealUnit,IngresosReales,CostoReal,MargenBrutoReal,CanalVenta
TRX-90018625,20210915,2021-09-15,PRD-10,CC-101,218.0,10355.52,3883.83,2257503.31,846674.3,1410829.01,Canal Horeca
TRX-90068936,20240120,2024-01-20,PRD-34,CC-202,85.0,112066.41,53275.83,9525644.76,4528445.53,4997199.23,Canal Horeca
TRX-90057366,20220723,2022-07-23,PRD-27,CC-202,46.0,9768.92,4959.03,449370.26,228115.42,221254.84,Distribuidor Mayorista
TRX-90050805,20220623,2022-06-23,PRD-25,CC-202,136.0,5761.41,2941.73,783551.36,400074.61,383476.75,Distribuidor Mayorista
TRX-90074117,20211005,2021-10-05,PRD-36,CC-101,173.0,13917.32,5958.58,2407695.83,1030834.54,1376861.29,Supermercados
TRX-90047261,20220704,2022-07-04,PRD-24,CC-101,58.0,14050.4,5529.06,814923.05,320685.38,494237.67,Supermercados
TRX-90076694,20240101,2024-01-01,PRD-36,CC-202,124.0,108152.01,46336.52,13410849.12,5745729.03,7665120.09,Distribuidor Mayorista
TRX-90001572,20211003,2021-10-03,PRD-01,CC-101,116.0,5469.4,2592.24,634450.38,300699.76,333750.62,Supermercados
TRX-90029633,20220510,2022-05-10,PRD-16,CC-202,21.0,6943.01,3438.25,145803.19,72203.29,73599.9,Supermercados
TRX-90065448,20230526,2023-05-26,PRD-31,CC-101,78.0,32745.05,12603.74,2554114.04,983091.45,1571022.59,Canal Horeca
TRX-90057032,20210104,2021-01-04,PRD-27,CC-101,23.0,5198.41,2335.85,119563.41,53724.48,65838.93,Distribuidor Mayorista
TRX-90047536,20230224,2023-02-24,PRD-24,CC-203,55.0,1845.67,8003.64,101511.58,440200.28,-338688.7,Exportacion Directa
TRX-90035060,20240515,2024-05-15,PRD-18,CC-202,183.0,71030.14,36639.83,12998514.74,6705089.2,6293425.54,Distribuidor Mayorista
TRX-90077777,20241204,2024-12-04,PRD-36,CC-202,65.0,180475.91,82236.79,11730933.96,5345391.46,6385542.5,Supermercados
TRX-90033855,20210524,2021-05-24,PRD-18,CC-202,56.0,5949.27,2791.38,333158.98,156317.31,176841.67,Supermercados
TRX-90017503,20240512,2024-05-12,PRD-09,CC-101,162.0,61147.0,29353.83,9905813.4,4755320.0,5150493.4,Canal Horeca
TRX-90027656,20230311,2023-03-11,PRD-15,CC-202,221.0,26429.81,9985.95,5840988.46,2206895.47,3634092.99,Supermercados
TRX-90072149,20240512,2024-05-12,PRD-35,CC-101,20.0,160888.52,74821.23,3217770.5,1496424.69,1721345.81,Supermercados
TRX-90037163,20240805,2024-08-05,PRD-20,CC-203,30.0,27384.66,107275.54,821539.94,3218266.21,-2396726.27,Exportacion Directa
TRX-90028039,20240808,2024-08-08,PRD-15,CC-101,160.0,125177.77,49733.29,20028442.72,7957326.86,12071115.86,Canal Horeca
TRX-90063818,20251003,2025-10-03,PRD-29,CC-101,87.0,77790.14,40120.8,6767742.23,3490509.36,3277232.87,Supermercados
TRX-90043815,20230126,2023-01-26,PRD-23,CC-101,199.0,10157.81,4886.67,2021404.39,972447.17,1048957.22,Supermercados
TRX-90011056,20210727,2021-07-27,PRD-06,CC-101,217.0,5314.06,2515.09,1153151.2,545774.96,607376.24,Canal Horeca
TRX-90047452,20221102,2022-11-02,PRD-24,CC-101,59.0,18456.57,6819.33,1088937.73,402340.23,686597.5,Canal Horeca
TRX-90015641,20210509,2021-05-09,PRD-09,CC-101,113.0,4781.48,2288.37,540307.08,258585.4,281721.68,Supermercados
TRX-90036690,20240713,2024-07-13,PRD-19,CC-101,36.0,164994.03,61801.54,5939785.14,2224855.34,3714929.8,Supermercados
TRX-90059422,20250610,2025-06-10,PRD-28,CC-203,190.0,10814.83,80500.94,2054816.86,15295178.62,-13240361.76,Exportacion Directa
TRX-90068816,20231019,2023-10-19,PRD-34,CC-202,35.0,67686.27,30873.56,2369019.4,1080574.53,1288444.87,Supermercados
TRX-90054543,20241106,2024-11-06,PRD-25,CC-202,20.0,56289.02,27107.63,1125780.49,542152.6,583627.89,Canal Horeca
TRX-90030130,20221106,2022-11-06,PRD-16,CC-101,104.0,10499.18,4961.7,1091915.13,516016.64,575898.49,Supermercados
TRX-90061627,20230521,2023-05-21,PRD-29,CC-202,140.0,14100.99,6515.26,1974139.2,912135.85,1062003.35,Distribuidor Mayorista
TRX-90040601,20250607,2025-06-07,PRD-21,CC-202,25.0,80913.2,37587.22,2022830.08,939680.58,1083149.5,Canal Horeca
TRX-90044704,20231112,2023-11-12,PRD-23,CC-202,212.0,22395.28,11660.88,4747798.75,2472106.28,2275692.47,Distribuidor Mayorista
TRX-90060081,20210820,2021-08-20,PRD-29,CC-101,214.0,4472.17,2164.18,957044.84,463134.34,493910.5,Distribuidor Mayorista
TRX-90069503,20241217,2024-12-17,PRD-34,CC-101,246.0,201335.16,95385.35,49528448.99,23464796.68,26063652.31,Distribuidor Mayorista
TRX-90061979,20230912,2023-09-12,PRD-29,CC-101,102.0,19849.03,9858.48,2024601.02,1005564.64,1019036.38,Distribuidor Mayorista
TRX-90073648,20210613,2021-06-13,PRD-36,CC-202,43.0,12132.72,5556.6,521706.92,238933.74,282773.18,Supermercados
TRX-90009405,20250325,2025-03-25,PRD-04,CC-101,235.0,167167.46,80026.21,39284354.02,18806158.38,20478195.64,Canal Horeca
TRX-90047051,20211225,2021-12-25,PRD-24,CC-203,136.0,746.73,3654.74,101555.04,497044.37,-395489.33,Exportacion Directa
