VBELN,FKDAT,MATNR,KUNNR,FKIMG,NETWR,WAVWR,VKBUR,INCO1
90018625,2021-09-15,PRD-10,CLI-1968,218,2257503.31,846674.3,CC-101,HORECA
90068936,20-01-2024,prd-34,CLI-1893,85,9525644.76,4528445.53,cc-202,horeca
90057366,23/07/2022,PRD-27,CLI-1886,46,449370.26,228115.42,CC-202,DIST
90050805,2022-06-23,PRD-25,CLI-1540,136,783551.36,400074.61,CC-202,DIST
90074117,2021-10-05,PRD-36,CLI-1647,173,2407695.83,1030834.54,CC-101,RETAIL
90047261,2022-07-04,PRD-24,CLI-1346,58,814923.05,320685.38,CC-101,RETAIL
90076694,01/01/2024,PRD-36,CLI-1831,124,13410849.12,5745729.03,CC-202,DIST
90001572,03-10-2021,PRD-01,CLI-1528,116,634450.38,300699.76,CC-101,RETAIL
90029633,2022-05-10,PRD-16,CLI-1872,21,145803.19,72203.29,CC-202,RETAIL
90065448,26-05-2023,PRD-31,CLI-1087,78,2554114.04,983091.45,CC-101,HORECA
90057032,04-01-2021,PRD-27,CLI-1604,23,119563.41,53724.48,CC-101,DIST
90047536,24-02-2023,PRD-24,CLI-1929,55,101511.58,440200.28,CC-203,FOB
90035060,15-05-2024,PRD-18,CLI-1077,183,12998514.74,6705089.2,CC-202,DIST
90077777,2024-12-04,prd-36,CLI-1864,65,11730933.96,5345391.46,cc-202,retail
90033855,2021/05/24,PRD-18,CLI-1364,56,333158.98,156317.31,CC-202,RETAIL
90017503,2024/05/12,PRD-09,CLI-1891,162,9905813.4,4755320.0,CC-101,HORECA
90027656,11-03-2023,PRD-15,CLI-1705,221,5840988.46,2206895.47,CC-202,RETAIL
90072149,2024-05-12, prd-35 ,CLI-1696,20,3217770.5,1496424.69, cc-101 , retail 
90037163,2024/08/05,prd-20,CLI-1585,30,821539.94,3218266.21,cc-203,fob
90028039,2024/08/08, prd-15 ,CLI-1746,160,20028442.72,7957326.86, cc-101 , horeca 
90063818,03/10/2025,PRD-29,CLI-1374,87,6767742.23,3490509.36,CC-101,RETAIL
90043815,2023/01/26,PRD-23,CLI-1596,199,2021404.39,972447.17,CC-101,RETAIL
90011056,27-07-2021,PRD-06,CLI-1753,217,1153151.2,545774.96,CC-101,HORECA
90047452,02-11-2022,PRD-24,CLI-1851,59,1088937.73,402340.23,CC-101,HORECA
90015641,2021-05-09,PRD-09,CLI-1649,113,540307.08,258585.4,CC-101,RETAIL
90036690,13/07/2024,PRD-19,CLI-1116,36,5939785.14,2224855.34,CC-101,RETAIL
90059422,10/06/2025, prd-28 ,CLI-1550,190,2054816.86,15295178.62, cc-203 , fob 
90068816,19-10-2023, prd-34 ,CLI-1156,35,2369019.4,1080574.53, cc-202 , retail 
90054543,2024/11/06,PRD-25,CLI-1401,20,1125780.49,542152.6,CC-202,HORECA
90030130,06/11/2022,PRD-16,CLI-1549,104,1091915.13,516016.64,CC-101,RETAIL
90061627,2023/05/21,PRD-29,CLI-1191,140,1974139.2,912135.85,CC-202,DIST
90040601,2025-06-07, prd-21 ,CLI-1087,25,2022830.08,939680.58, cc-202 , horeca 
90044704,12-11-2023, prd-23 ,CLI-1650,212,4747798.75,2472106.28, cc-202 , dist 
90060081,2021-08-20,prd-29,CLI-1172,214,957044.84,463134.34,cc-101,dist
90069503,2024/12/17,prd-34,CLI-1771,246,49528448.99,23464796.68,cc-101,dist
90061979,2023/09/12,PRD-29,CLI-1414,102,2024601.02,1005564.64,CC-101,DIST
90073648,13-06-2021,PRD-36,CLI-1924,43,521706.92,238933.74,CC-202,RETAIL
90009405,2025-03-25, prd-04 ,CLI-1875,235,39284354.02,18806158.38, cc-101 , horeca 
90047051,2021/12/25,PRD-24,CLI-1451,136,101555.04,497044.37,CC-203,FOB
90056933,2025-05-15,PRD-26,CLI-1034,155,20188423.14,7713942.48,CC-202,RETAIL
90048802,05/02/2021,PRD-25 ,CLI-1606,84,258859.86,130222.13,CC-101 ,RETAIL 
90063143,2025/01/13,PRD-29,CLI-1767,98,6470189.98,3206859.11,CC-202,HORECA
90022998,22/08/2025,PRD-12,CLI-1944,175,12529021.42,6109908.01,CC-101,HORECA
90041835,2021/01/03,PRD-23,CLI-1103,175,579353.33,282914.98,CC-202,RETAIL
90045298,11/08/2024, prd-23 ,CLI-1956,87,5016799.42,2461795.59, cc-101 , retail 
90024465,2021-10-18,prd-14,CLI-1184,20,108560.67,50826.63,cc-202,dist
90021680,12-09-2023,PRD-12,CLI-1307,232,4244372.05,2037032.28,CC-202,RETAIL
90006526,20/11/2024,PRD-03 ,CLI-1346,177,4114043.99,16753088.92,CC-203 ,FOB 
90011725,2022-05-06,prd-06,CLI-1095,68,572897.06,260123.45,cc-101,dist
90068978,25/01/2024,prd-34,CLI-1273,247,28570072.59,12979871.12,cc-202,retail
90025247,2023/01/20,PRD-14,CLI-1240,138,1635228.01,795466.59,CC-101,HORECA
90070091,2025/12/19,prd-34,CLI-1535,163,45120959.26,20412984.47,cc-101,horeca
90014487,2021/10/01, prd-07 ,CLI-1232,191,2084202.72,806363.09, cc-202 , retail 
90048271,2024/12/09,PRD-24,CLI-1028,225,26521833.6,10951068.41,CC-101,RETAIL
90069835,2025/07/14,PRD-34,CLI-1613,111,133896.24,12389687.89,CC-203,FOB
90022980,05-08-2025,PRD-12,CLI-1038,42,3086800.91,1477641.73,CC-202,RETAIL
90020182,17/08/2021,PRD-12,CLI-1881,216,909649.71,428845.26,CC-202,RETAIL
90047174,09/04/2022,PRD-24,CLI-1086,202,140500.86,931713.65,CC-203,FOB
90001166,05/04/2021, prd-01 ,CLI-1719,139,639661.93,292182.16, cc-101 , dist 
90015978,01/11/2021,PRD-09,CLI-1448,212,1194445.22,583218.75,CC-202,RETAIL
90002584,27-01-2023,PRD-01,CLI-1930,126,1483184.76,702436.05,CC-202,HORECA
90060181,2021-09-23, prd-29 ,CLI-1147,119,558419.99,269038.01, cc-202 , horeca 
90066429,2023-12-19, prd-32 ,CLI-1422,67,4643508.68,1744499.41, cc-101 , retail 
90030963,2023/10/27,PRD-16,CLI-1150,102,2583814.71,1167923.6,CC-202,DIST
90075811,2023/04/03,PRD-36,CLI-1274,30,1076116.42,495404.56,CC-202,RETAIL
90010797,2021-02-08,PRD-06,CLI-1467,116,542497.04,249059.4,CC-101,RETAIL
90045774,04/01/2025,PRD-23,CLI-1953,259,1333451.74,8404459.73,CC-203,FOB
90028312,09-07-2025,PRD-15,CLI-1020,59,10304057.61,4006531.43,CC-101,HORECA
90047971,2024/04/18, prd-24 ,CLI-1874,155,1104623.05,5649806.25, cc-203 , fob 
90059726,26/03/2021,PRD-29,CLI-1018,215,822524.65,396322.26,CC-101,RETAIL
90045960,10-04-2025,PRD-23,CLI-1719,77,5678539.15,2637936.26,CC-101,DIST
90068400,24-02-2023,PRD-34,CLI-1744,28,994289.15,428476.43,CC-101,RETAIL
90047218,12/05/2022,PRD-24,CLI-1443,144,154865.04,708371.59,CC-203,FOB
90001173,2021-04-09,PRD-01,CLI-1172,58,266535.09,121968.89,CC-202,DIST
90019500,10-12-2025,PRD-10 ,CLI-1706,30,350567.77,2289894.58,CC-203 ,FOB 
90054659,2024/11/13, prd-25 ,CLI-1469,31,1690837.26,859353.58, cc-202 , horeca 
90054660,10-11-2024,PRD-25,CLI-1192,91,369679.19,2529360.5,CC-203,FOB
90067373,2021-06-08,PRD-34,CLI-1803,33,446029.66,189009.84,CC-202,RETAIL
90073116,13-11-2025,PRD-35,CLI-1708,103,26899045.7,12491502.56,CC-202,HORECA
90001034,27/01/2021, prd-01 ,CLI-1694,49,195740.52,91464.88, cc-202 , horeca 
90050056,13-11-2021,PRD-25,CLI-1141,81,372625.95,167936.51,CC-202,RETAIL
90040271,2024/12/10, prd-21 ,CLI-1119,87,6240094.1,2928149.73, cc-202 , horeca 
90019262,13/10/2024,PRD-10,CLI-1468,237,33561379.16,13231436.39,CC-202,RETAIL
90027612,23-01-2023,PRD-15 ,CLI-1049,213,4816868.1,1895740.93,CC-202 ,RETAIL 
90023826,08/12/2024, prd-13 ,CLI-1621,162,1169275.94,7538282.59, cc-203 , fob 
90051144,24-08-2022,PRD-25,CLI-1183,228,1625232.87,787251.59,CC-101,RETAIL
90067362,15/06/2021,PRD-34,CLI-1388,198,2590819.33,1136122.06,CC-101,DIST
90078696,17-09-2025,PRD-36,CLI-1568,249,56132460.12,25779797.48,CC-202,RETAIL
90031711,2024/08/25,PRD-16,CLI-1421,183,11521511.74,5835330.43,CC-101,DIST
90052453,2023-07-10,PRD-25,CLI-1924,114,1638521.35,778395.83,CC-202,RETAIL
90050388,26-02-2022,PRD-25 ,CLI-1987,221,1075262.29,522391.43,CC-202 ,RETAIL 
90026008,03-04-2024,PRD-14,CLI-1703,223,12453860.49,6182248.68,CC-101,RETAIL
90001895,2022/04/26,PRD-01,CLI-1490,113,837375.0,384450.63,CC-202,DIST
90005462,01/05/2023,PRD-02,CLI-1785,133,263893.18,1550850.37,CC-203,FOB
90062657,2024-07-01,prd-29,CLI-1292,173,555298.57,4952438.55,cc-203,fob
90002357,2022-10-25,PRD-01,CLI-1824,236,2397253.71,1160996.88,CC-101,DIST
90034359,2022/07/24,PRD-18 ,CLI-1306,164,1737059.32,880591.53,CC-202 ,RETAIL 
90001696,09-12-2021,PRD-01,CLI-1789,258,1498756.86,726876.22,CC-202,RETAIL
90051526,02/11/2022,PRD-25,CLI-1164,195,1647047.38,793003.95,CC-202,DIST
90002290,24/09/2022,PRD-01,CLI-1240,125,1207730.34,569602.82,CC-202,RETAIL
90076832,26-02-2024,prd-36,CLI-1773,112,13485324.09,6120991.2,cc-202,retail
90048294,21/01/2025,PRD-24,CLI-1639,90,11301979.67,4555415.18,CC-101,DIST
90063324,12-04-2025,PRD-29,CLI-1826,208,15267826.11,7323301.57,CC-101,RETAIL
90041459,2023/09/23, prd-22 ,CLI-1316,200,7920202.75,3100763.63, cc-202 , retail 
90005610,14/10/2023, prd-02 ,CLI-1112,116,376792.2,2125018.13, cc-203 , fob 
90027802,03/09/2023,PRD-15,CLI-1770,87,3880231.04,1474592.54,CC-101,RETAIL
90004568,03-10-2025,PRD-01,CLI-1270,52,4435855.35,2376113.4,CC-202,RETAIL
90033292,22-11-2022,prd-17,CLI-1993,153,201853.07,1192675.85,cc-203,fob
90023225,2025-11-20,PRD-12,CLI-1490,68,4941332.54,2490113.69,CC-101,RETAIL
90071959,2024/01/13,PRD-35,CLI-1095,71,59433.48,3729910.0,CC-203,FOB
90037699,2021/09/05,PRD-21,CLI-1482,247,1284600.76,566738.76,CC-202,RETAIL
90052144,27-04-2023,PRD-25,CLI-1773,173,1972621.59,964869.98,CC-202,RETAIL
