date,tna_badlar
2021-01-01,0.341219
2021-02-01,0.341007
2021-03-01,0.340682
2021-04-01,0.340969
2021-05-01,0.341151
2021-06-01,0.34119
2021-07-01,0.34131
2021-08-01,0.341577
2021-09-01,0.341591
2021-10-01,0.341414
2021-11-01,0.341756
2021-12-01,0.342
2022-01-01,0.369256
2022-02-01,0.383158
2022-03-01,0.405417
2022-04-01,0.43273
2022-05-01,0.455219
2022-06-01,0.482062
2022-07-01,0.510714
2022-08-01,0.604886
2022-09-01,0.664881
2022-10-01,0.690625
2022-11-01,0.691786
2022-12-01,0.693
2023-01-01,0.694688
2023-02-01,0.697743
2023-03-01,0.709801
2023-04-01,0.742361
2023-05-01,0.900469
2023-06-01,0.924469
2023-07-01,0.926012
2023-08-01,1.04017
2023-09-01,1.137351
2023-10-01,1.220813
2023-11-01,1.2935
2023-12-01,1.211711
2024-01-01,1.091676
2024-02-01,1.088947
2024-03-01,0.854145
2024-04-01,0.626688
2024-05-01,0.355852
2024-06-01,0.334265
2024-07-01,0.369063
2024-08-01,0.388437
2024-09-01,0.39381
2024-10-01,0.405085
2024-11-01,0.361711
2024-12-01,0.32875
2025-01-01,0.314972
2025-02-01,0.284781
2025-03-01,0.295069
2025-04-01,0.331546
2025-05-01,0.327531
2025-06-01,0.321612
2025-07-01,0.324972
2025-08-01,0.480312
2025-09-01,0.48429
2025-10-01,0.461676
2025-11-01,0.320257
2025-12-01,0.264605
